Function,Variant,Mean,Std,Rank
Sphere,SOCIAL_full,0.00011190951557536311,4.654783143916187e-05,3
Sphere,no_elite,0.00011190951557536311,4.654783143916187e-05,4
Sphere,no_mutation,2.0328878515893888e-05,0.00010669560083188485,1
Sphere,no_sync,9.613846929681206e-05,5.334513409520203e-05,2
Sphere,uniform_neighbors,0.0003423834932907093,0.00019755403213626282,7
Sphere,no_rewiring,0.00015446665096989325,7.067853410175031e-05,6
Sphere,fixed_weights,0.00011190951557536311,4.654783143916187e-05,5
Rastrigin,SOCIAL_full,11.761203044925699,10.736941158305772,4
Rastrigin,no_elite,11.761203044925699,10.736941158305772,5
Rastrigin,no_mutation,3.9349809336878633e-07,1.2127248722687448e-06,1
Rastrigin,no_sync,11.363605875209045,10.024315565626617,3
Rastrigin,uniform_neighbors,8.90499698936467,6.772983987028507,2
Rastrigin,no_rewiring,16.432937051554717,13.66158130683959,7
Rastrigin,fixed_weights,11.761203044925699,10.736941158305772,6
Ackley,SOCIAL_full,4.378714245219996,1.9715707788914576,4
Ackley,no_elite,4.378714245219996,1.9715707788914576,5
Ackley,no_mutation,0.0002572588530515378,0.000760742057396623,1
Ackley,no_sync,3.62369667543612,2.2266127675155416,3
Ackley,uniform_neighbors,3.6132749495413767,2.4178647518946494,2
Ackley,no_rewiring,5.259886642772022,0.886357358112807,7
Ackley,fixed_weights,4.378714245219996,1.9715707788914576,6
Rosenbrock,SOCIAL_full,72.38831933942608,79.72809597052006,4
Rosenbrock,no_elite,72.38831933942608,79.72809597052006,5
Rosenbrock,no_mutation,28.779481079267107,0.04067306333495819,1
Rosenbrock,no_sync,64.65803624166715,55.37714126340533,2
Rosenbrock,uniform_neighbors,68.36325170740746,70.97061640245016,3
Rosenbrock,no_rewiring,72.8170437297746,72.2079523792839,7
Rosenbrock,fixed_weights,72.38831933942608,79.72809597052006,6
Griewank,SOCIAL_full,0.021265933810788507,0.01319122718381342,4
Griewank,no_elite,0.021265933810788507,0.01319122718381342,5
Griewank,no_mutation,8.76255814138786e-06,3.222995954829774e-05,1
Griewank,no_sync,0.01902695245462404,0.017973862644779782,3
Griewank,uniform_neighbors,0.02287259339686263,0.023418085376538274,7
Griewank,no_rewiring,0.017971053648550363,0.015650045511428564,2
Griewank,fixed_weights,0.021265933810788507,0.01319122718381342,6
