Function,Centrality,Mean,Std,Rank,Avg_Centrality_Time
Sphere,betweenness,0.00011190951557536311,4.654783143916187e-05,5,0.0008117226669586155
Sphere,degree,9.036371533327435e-05,4.047848175645337e-05,2,3.4372625598281872e-06
Sphere,closeness,8.533591553035607e-05,3.570361211065376e-05,1,0.00019742168346171298
Sphere,pagerank,0.00011127105135347101,5.873451488710372e-05,4,0.00018612300887601598
Sphere,eigenvector,9.339179699434246e-05,4.547238846642257e-05,3,0.0006908775036223944
Rastrigin,betweenness,11.761203044925699,10.736941158305772,4,0.000813471387416795
Rastrigin,degree,10.685402548555526,6.958277249224622,2,3.5212248063651227e-06
Rastrigin,closeness,10.747352524674053,8.72450116684552,3,0.00019672258965199358
Rastrigin,pagerank,10.502365646874447,6.320891143404739,1,0.00018847600420514969
Rastrigin,eigenvector,12.758055177036482,8.176072359660523,5,0.0007163627126092884
Ackley,betweenness,4.378714245219996,1.9715707788914576,5,0.0008137100685919224
Ackley,degree,3.738795863523789,2.279220265360975,2,3.6390203468268563e-06
Ackley,closeness,4.063015082567506,2.3471198721665303,3,0.00019674229159990988
Ackley,pagerank,2.9324806402830492,2.212602821382654,1,0.00018991155085998533
Ackley,eigenvector,4.350868658959851,1.8103456527773285,4,0.000712892167130947
Rosenbrock,betweenness,72.38831933942608,79.72809597052006,1,0.0008135851862620842
Rosenbrock,degree,80.21377585317197,70.97574673846763,3,3.7983218300306193e-06
Rosenbrock,closeness,84.79796542759092,86.67864234425723,4,0.00019634388085997437
Rosenbrock,pagerank,88.56654211509553,88.29012108253572,5,0.00019159881550105456
Rosenbrock,eigenvector,74.44937694754351,77.82645902067267,2,0.00068804640610632
Griewank,betweenness,0.021265933810788507,0.01319122718381342,5,0.0008133644343962614
Griewank,degree,0.015256585247448192,0.011204070817835312,2,3.6525238492873498e-06
Griewank,closeness,0.014363873997439432,0.013106629299687618,1,0.0001969087176652899
Griewank,pagerank,0.01779898559051434,0.012531463310322863,4,0.00018999110690646958
Griewank,eigenvector,0.016150656748599262,0.01673352983414138,3,0.0007031274830509036
