variant,evaluations,best_fitness
SOCIAL_full,0.0,1e-05
SOCIAL_full,1010.10101010101,9.800006733734207e-06
SOCIAL_full,2020.20202020202,9.60401319812358e-06
SOCIAL_full,3030.30303030303,9.411939401248327e-06
SOCIAL_full,4040.40404040404,9.22370695097319e-06
SOCIAL_full,5050.50505050505,9.039239022952824e-06
SOCIAL_full,6060.60606060606,8.858460329277069e-06
SOCIAL_full,7070.707070707071,8.681297087743262e-06
SOCIAL_full,8080.80808080808,8.507676991743111e-06
SOCIAL_full,9090.90909090909,8.337529180751807e-06
SOCIAL_full,10101.0101010101,8.170784211407314e-06
SOCIAL_full,11111.111111111111,8.00737402916808e-06
SOCIAL_full,12121.21212121212,7.84723194053756e-06
SOCIAL_full,13131.31313131313,7.690292585844224e-06
SOCIAL_full,14141.414141414141,7.536491912565962e-06
SOCIAL_full,15151.51515151515,7.385767149187981e-06
SOCIAL_full,16161.61616161616,7.238056779583511e-06
SOCIAL_full,17171.71717171717,7.093300517906894e-06
SOCIAL_full,18181.81818181818,6.951439283988788e-06
SOCIAL_full,19191.91919191919,6.81241517922346e-06
SOCIAL_full,20202.0202020202,6.676171462938303e-06
SOCIAL_full,21212.121212121212,6.542652529235952e-06
SOCIAL_full,22222.222222222223,6.411803884299546e-06
SOCIAL_full,23232.32323232323,6.28357212415187e-06
SOCIAL_full,24242.42424242424,6.157904912859287e-06
SOCIAL_full,25252.52525252525,6.034750961171596e-06
SOCIAL_full,26262.62626262626,5.914060005589062e-06
SOCIAL_full,27272.727272727272,5.795782787848095e-06
SOCIAL_full,28282.828282828283,5.679871034817215e-06
SOCIAL_full,29292.92929292929,5.566277438795059e-06
SOCIAL_full,30303.0303030303,5.454955638202436e-06
SOCIAL_full,31313.13131313131,5.345860198660524e-06
SOCIAL_full,32323.23232323232,5.238946594447482e-06
SOCIAL_full,33333.33333333333,5.134171190325922e-06
SOCIAL_full,34343.43434343434,5.0314912237338194e-06
SOCIAL_full,35353.53535353535,4.930864787331599e-06
SOCIAL_full,36363.63636363636,4.8322508118982554e-06
SOCIAL_full,37373.73737373737,4.7356090495695485e-06
SOCIAL_full,38383.83838383838,4.640900057411421e-06
SOCIAL_full,39393.93939393939,4.5480851813219395e-06
SOCIAL_full,40404.0404040404,4.4571265402551765e-06
SOCIAL_full,41414.14141414141,4.367987010760617e-06
SOCIAL_full,42424.242424242424,4.28063021183176e-06
SOCIAL_full,43434.343434343435,4.195020490057732e-06
SOCIAL_full,44444.444444444445,4.111122905071874e-06
SOCIAL_full,45454.54545454545,4.028903215291331e-06
SOCIAL_full,46464.64646464646,3.948327863941843e-06
SOCIAL_full,47474.74747474747,3.869363965362046e-06
SOCIAL_full,48484.84848484848,3.791979291581654e-06
SOCIAL_full,49494.94949494949,3.7161422591680873e-06
SOCIAL_full,50505.0505050505,3.641821916336151e-06
SOCIAL_full,51515.15151515151,3.5689879303155084e-06
SOCIAL_full,52525.25252525252,3.4976105749708084e-06
SOCIAL_full,53535.35353535353,3.427660718669389e-06
SOCIAL_full,54545.454545454544,3.359109812391624e-06
SOCIAL_full,55555.555555555555,3.291929878079056e-06
SOCIAL_full,56565.656565656565,3.226093497215558e-06
SOCIAL_full,57575.757575757576,3.1615737996368594e-06
SOCIAL_full,58585.85858585858,3.098344452563887e-06
SOCIAL_full,59595.95959595959,3.036379649855411e-06
SOCIAL_full,60606.0606060606,2.975654101475654e-06
SOCIAL_full,61616.16161616161,2.9161430231725214e-06
SOCIAL_full,62626.26262626262,2.8578221263622743e-06
SOCIAL_full,63636.36363636363,2.8006676082164893e-06
SOCIAL_full,64646.46464646464,2.7446561419472867e-06
SOCIAL_full,65656.56565656565,2.6897648672868348e-06
SOCIAL_full,66666.66666666666,2.6359713811572683e-06
SOCIAL_full,67676.76767676767,2.583253728527188e-06
SOCIAL_full,68686.86868686868,2.5315903934510444e-06
SOCIAL_full,69696.9696969697,2.480960290287706e-06
SOCIAL_full,70707.0707070707,2.4313427550946696e-06
SOCIAL_full,71717.17171717172,2.382717537194363e-06
SOCIAL_full,72727.27272727272,2.3350647909091347e-06
SOCIAL_full,73737.37373737374,2.288365067461517e-06
SOCIAL_full,74747.47474747474,2.2425993070365e-06
SOCIAL_full,75757.57575757576,2.197748831002536e-06
SOCIAL_full,76767.67676767676,2.1537953342881333e-06
SOCIAL_full,77777.77777777777,2.1107208779109024e-06
SOCIAL_full,78787.87878787878,2.068507881656022e-06
SOCIAL_full,79797.97979797979,2.027139116901129e-06
SOCIAL_full,80808.0808080808,1.9865976995847077e-06
SOCIAL_full,81818.18181818181,1.9468670833151023e-06
SOCIAL_full,82828.28282828283,1.9079310526173472e-06
SOCIAL_full,83838.38383838383,1.8697737163150594e-06
SOCIAL_full,84848.48484848485,1.8323795010446813e-06
SOCIAL_full,85858.58585858585,1.7957331448994403e-06
SOCIAL_full,86868.68686868687,1.7598196912004214e-06
SOCIAL_full,87878.78787878787,1.7246244823922187e-06
SOCIAL_full,88888.88888888889,1.6901331540606608e-06
SOCIAL_full,89898.9898989899,1.656331629070191e-06
SOCIAL_full,90909.0909090909,1.6232061118184822e-06
SOCIAL_full,91919.19191919192,1.590743082605964e-06
SOCIAL_full,92929.29292929292,1.5589292921179559e-06
SOCIAL_full,93939.39393939394,1.5277517560171464e-06
SOCIAL_full,94949.49494949494,1.4971977496442294e-06
SOCIAL_full,95959.59595959596,1.4672548028245146e-06
SOCIAL_full,96969.69696969696,1.43791069477841e-06
SOCIAL_full,97979.79797979798,1.4091534491336847e-06
SOCIAL_full,98989.89898989898,1.3809713290374893e-06
SOCIAL_full,100000.0,1.3533528323661268e-06
no_elite,0.0,0.0001
no_elite,1010.10101010101,9.778033633681428e-05
no_elite,2020.20202020202,9.56099417414052e-05
no_elite,3030.30303030303,9.348772260617816e-05
no_elite,4040.40404040404,9.141260959794895e-05
no_elite,5050.50505050505,8.938355711913343e-05
no_elite,6060.60606060606,8.739954278089715e-05
no_elite,7070.707070707071,8.54595668879991e-05
no_elite,8080.80808080808,8.356265193507027e-05
no_elite,9090.90909090909,8.170784211407314e-05
no_elite,10101.0101010101,7.989420283269388e-05
no_elite,11111.111111111111,7.812082024342466e-05
no_elite,12121.21212121212,7.638680078309871e-05
no_elite,13131.31313131313,7.469127072264618e-05
no_elite,14141.414141414141,7.303337572684393e-05
no_elite,15151.51515151515,7.141228042383725e-05
no_elite,16161.61616161616,6.982716798421703e-05
no_elite,17171.71717171717,6.827723970943969e-05
no_elite,18181.81818181818,6.676171462938303e-05
no_elite,19191.91919191919,6.527982910883486e-05
no_elite,20202.0202020202,6.38308364627163e-05
no_elite,21212.121212121212,6.241400657984587e-05
no_elite,22222.222222222223,6.1028625555054675e-05
no_elite,23232.32323232323,5.9673995329467435e-05
no_elite,24242.42424242424,5.834943333876809e-05
no_elite,25252.52525252525,5.705427216927266e-05
no_elite,26262.62626262626,5.578785922163623e-05
no_elite,27272.727272727272,5.454955638202436e-05
no_elite,28282.828282828283,5.333873970058354e-05
no_elite,29292.92929292929,5.215479907704846e-05
no_elite,30303.0303030303,5.099713795332769e-05
no_elite,31313.13131313131,4.986517301291297e-05
no_elite,32323.23232323232,4.875833388696063e-05
no_elite,33333.33333333333,4.767606286689699e-05
no_elite,34343.43434343434,4.661781462340289e-05
no_elite,35353.53535353535,4.5583055931635924e-05
no_elite,36363.63636363636,4.457126540255177e-05
no_elite,37373.73737373737,4.3581933220189244e-05
no_elite,38383.83838383838,4.2614560884786826e-05
no_elite,39393.93939393939,4.1668660961601045e-05
no_elite,40404.0404040404,4.074375683530032e-05
no_elite,41414.14141414141,3.98393824698104e-05
no_elite,42424.242424242424,3.895508217349043e-05
no_elite,43434.343434343435,3.8090410369521326e-05
no_elite,44444.444444444445,3.724493137139072e-05
no_elite,45454.54545454545,3.641821916336151e-05
no_elite,46464.64646464646,3.5609857185813016e-05
no_elite,47474.74747474747,3.4819438125347186e-05
no_elite,48484.84848484848,3.404656370955341e-05
no_elite,49494.94949494949,3.329084450632908e-05
no_elite,50505.0505050505,3.2551899727654414e-05
no_elite,51515.15151515151,3.182935703772302e-05
no_elite,52525.25252525252,3.1122852365331024e-05
no_elite,53535.35353535353,3.0432029720430828e-05
no_elite,54545.454545454544,2.9756541014756535e-05
no_elite,55555.555555555555,2.909604588643102e-05
no_elite,56565.656565656565,2.8450211528466066e-05
no_elite,57575.757575757576,2.7818712521069222e-05
