evaluations,n_basins
0.0,0
1010.10101010101,0
2020.20202020202,0
3030.30303030303,0
4040.40404040404,0
5050.50505050505,0
6060.60606060606,0
7070.707070707071,1
8080.80808080808,1
9090.90909090909,1
10101.0101010101,1
11111.111111111111,2
12121.21212121212,3
13131.31313131313,4
14141.414141414141,4
15151.51515151515,5
16161.61616161616,6
17171.71717171717,6
18181.81818181818,7
19191.91919191919,8
20202.0202020202,8
21212.121212121212,8
22222.222222222223,8
23232.32323232323,9
24242.42424242424,11
25252.52525252525,13
26262.62626262626,13
27272.727272727272,15
28282.828282828283,16
29292.92929292929,17
30303.0303030303,18
31313.13131313131,19
32323.23232323232,20
33333.33333333333,21
34343.43434343434,22
35353.53535353535,22
36363.63636363636,23
37373.73737373737,23
38383.83838383838,24
39393.93939393939,24
40404.0404040404,24
41414.14141414141,24
42424.242424242424,25
43434.343434343435,25
44444.444444444445,26
45454.54545454545,26
46464.64646464646,27
47474.74747474747,27
48484.84848484848,28
49494.94949494949,28
50505.0505050505,28
51515.15151515151,28
52525.25252525252,28
53535.35353535353,28
54545.454545454544,28
55555.555555555555,28
56565.656565656565,29
57575.757575757576,29
58585.85858585858,29
59595.95959595959,29
60606.0606060606,30
61616.16161616161,30
62626.26262626262,30
63636.36363636363,30
64646.46464646464,30
65656.56565656565,31
66666.66666666666,31
67676.76767676767,31
68686.86868686868,32
69696.9696969697,32
70707.0707070707,32
71717.17171717172,32
72727.27272727272,35
73737.37373737374,35
74747.47474747474,36
75757.57575757576,37
76767.67676767676,38
77777.77777777777,39
78787.87878787878,40
79797.97979797979,40
80808.0808080808,40
81818.18181818181,41
82828.28282828283,43
83838.38383838383,45
84848.48484848485,45
85858.58585858585,45
86868.68686868687,48
87878.78787878787,50
88888.88888888889,51
89898.9898989899,51
90909.0909090909,51
91919.19191919192,51
92929.29292929292,51
93939.39393939394,51
94949.49494949494,51
95959.59595959596,51
96969.69696969696,52
97979.79797979798,53
98989.89898989898,53
100000.0,53
