variable,value
x1,43
x1,30
x1,52
x1,57
x1,43
x1,34
x1,56
x1,47
x1,44
x1,16
x1,20
x1,43
x1,21
x1,41
x1,17
x1,27
x1,59
x1,15
x1,45
x1,15
x1,60
x1,25
x1,21
x1,44
x1,40
x1,19
x1,52
x1,45
x1,60
x1,37
x1,36
x1,20
x1,38
x1,15
x1,17
x1,29
x1,40
x1,45
x1,22
x1,46
x1,36
x1,36
x1,49
x1,35
x1,54
x1,13
x1,30
x1,21
x1,24
x1,20
x1,41
x1,45
x1,55
x1,56
x1,56
x1,36
x1,43
x1,24
x1,56
x1,60
x1,41
x1,40
x1,14
x1,29
x1,56
x1,21
x1,31
x1,31
x1,18
x1,32
x1,53
x1,30
x1,23
x1,42
x1,22
x1,40
x1,41
x1,32
x1,47
x1,59
x1,55
x1,25
x1,46
x1,20
x1,31
x1,25
x1,27
x1,31
x1,46
x1,15
x1,18
x1,31
x1,44
x1,14
x1,55
x1,15
x1,49
x1,47
x1,45
x1,15
x1,46
x1,16
x1,14
x1,29
x1,58
x1,47
x1,58
x1,54
x1,22
x1,45
x1,25
x1,36
x1,40
x1,59
x1,53
x1,48
x1,16
x1,59
x1,40
x1,29
x1,24
x1,27
x1,24
x1,13
x1,46
x1,40
x1,40
x1,20
x1,37
x1,43
x1,38
x1,48
x1,25
x1,13
x1,36
x1,31
x1,47
x1,15
x1,40
x1,60
x1,18
x1,29
x1,58
x1,59
x1,58
x1,34
x1,21
x1,27
x1,48
x1,28
x1,40
x1,46
x1,31
x1,14
x1,58
x1,43
x1,46
x1,18
x1,19
x1,29
x1,57
x1,20
x1,55
x1,35
x1,41
x1,24
x1,40
x1,26
x1,51
x1,32
x1,49
x1,51
x1,14
x1,22
x1,28
x1,46
x1,49
x1,38
x1,37
x1,54
x1,52
x1,34
x1,31
x1,35
x1,33
x1,43
x1,17
x1,29
x1,15
x1,56
x1,19
x1,30
x1,38
x1,26
x1,39
x1,43
x1,44
x1,19
x1,55
x1,32
x1,45
x1,54
x1,13
x1,12
x1,58
x1,27
x1,50
x1,14
x1,50
x1,34
x1,19
x1,18
x1,27
x1,27
x1,22
x1,15
x1,47
x1,30
x1,43
x1,13
x1,57
x1,43
x1,54
x1,21
x1,37
x1,16
x1,56
x1,51
x1,41
x1,38
x1,59
x1,21
x1,56
x1,37
x1,42
x1,41
x1,51
x1,22
x1,24
x1,17
x1,44
x1,23
x1,26
x1,48
x1,27
x1,46
x1,28
x1,28
x1,23
x1,30
x1,33
x1,46
x1,47
x1,15
x1,57
x1,32
x1,29
x1,29
x1,46
x1,50
x1,12
x1,41
x1,57
x1,54
x1,30
x1,12
x1,48
x1,25
x1,28
x1,46
x1,40
x1,16
x1,32
x1,51
x1,21
x1,21
x1,54
x1,34
x1,43
x1,43
x1,20
x1,25
x1,53
x1,27
x1,33
x1,38
