K,p,Mean
2,0.0,0.3642017030841795
2,0.1,0.6628865125125992
2,0.3,0.6340618113522797
2,0.5,0.12223226070609278
2,0.8,0.1481878930298474
4,0.0,0.8985436417584479
4,0.1,0.5376544830400677
4,0.3,0.9879591109903988
4,0.5,0.21865956557169625
4,0.8,0.5466836404631906
6,0.0,0.410121667557961
6,0.1,0.840991563308451
6,0.3,0.7251319020150855
6,0.5,0.6122352451174441
6,0.8,0.630853904991827
8,0.0,0.09292733734739346
8,0.1,0.5165240787335346
8,0.3,0.07884504367222375
8,0.5,0.8337112334934023
8,0.8,0.7473312334363993
10,0.0,0.9756064623848694
10,0.1,0.9677932976968444
10,0.3,0.20028985320074663
10,0.5,0.5765709673230933
10,0.8,0.8263813868921597
