K,p,Mean
2,0.0,8.359356687843013e-05
2,0.1,6.465933917112092e-05
2,0.3,9.447973256774411e-05
2,0.5,5.5991640140845345e-06
2,0.8,4.620398679493858e-05
4,0.0,2.8712908759510896e-05
4,0.1,8.536644186075051e-05
4,0.3,7.381718077567416e-06
4,0.5,1.1469112971383841e-05
4,0.8,3.880125966021675e-05
6,0.0,2.774449649687917e-05
6,0.1,4.1440763720610756e-05
6,0.3,1.562109155719025e-05
6,0.5,5.107178277619653e-05
6,0.8,1.2712080699574123e-05
8,0.0,2.325963289108164e-05
8,0.1,3.6127258508820166e-05
8,0.3,7.164718627347836e-05
8,0.5,6.892886561986837e-05
8,0.8,9.140549952971266e-05
10,0.0,4.349189490510646e-05
10,0.1,5.651082538954564e-05
10,0.3,7.438578260383325e-05
10,0.5,8.282932716110793e-05
10,0.8,4.0108018499559967e-05
