K,p,Runtime
2,0.0,146.2958440696645
2,0.1,67.43658207574684
2,0.3,135.05623215041464
2,0.5,90.73156318725147
2,0.8,181.87097940090382
4,0.0,80.36564232813203
4,0.1,62.53807046052047
4,0.3,108.84151779633291
4,0.5,174.61530477174557
4,0.8,142.33331272180996
6,0.0,188.18937467789183
6,0.1,121.0412903805143
6,0.3,51.48120492492764
6,0.5,127.91661699782969
6,0.8,112.95602058683251
8,0.0,180.70327360299956
8,0.1,143.69309393467972
8,0.3,157.8978601879702
8,0.5,65.70170076474756
8,0.8,116.34666903336169
10,0.0,142.87287470722788
10,0.1,131.2969849295194
10,0.3,164.16648517482525
10,0.5,188.49559570949046
10,0.8,65.67431734837021
