schedule,evaluations,best_fitness
linear,0.0,1.0012864633659017e-05
linear,1010.10101010101,9.761898295719517e-06
linear,2020.20202020202,9.682348535355067e-06
linear,3030.30303030303,9.367191784358633e-06
linear,4040.40404040404,9.098125508481461e-06
linear,5050.50505050505,9.13371358675507e-06
linear,6060.60606060606,8.645304080785792e-06
linear,7070.707070707071,8.71660091232814e-06
linear,8080.80808080808,8.486355680861318e-06
linear,9090.90909090909,8.318465520882277e-06
linear,10101.0101010101,8.316467291770967e-06
linear,11111.111111111111,7.955880439363823e-06
linear,12121.21212121212,7.899061785309545e-06
linear,13131.31313131313,7.63334365952815e-06
linear,14141.414141414141,7.612399788145655e-06
linear,15151.51515151515,7.3890837343552894e-06
linear,16161.61616161616,7.1304884416072265e-06
linear,17171.71717171717,6.926029871293113e-06
linear,18181.81818181818,6.979147152131377e-06
linear,19191.91919191919,6.764106325177231e-06
linear,20202.0202020202,6.700299712343466e-06
linear,21212.121212121212,6.587949353255914e-06
linear,22222.222222222223,6.421081401422876e-06
linear,23232.32323232323,6.443986252022126e-06
linear,24242.42424242424,5.927161243657282e-06
linear,25252.52525252525,6.0652212025446824e-06
linear,26262.62626262626,5.855556275008721e-06
linear,27272.727272727272,5.731292600694203e-06
linear,28282.828282828283,5.688794456938652e-06
linear,29292.92929292929,5.689643253535131e-06
linear,30303.0303030303,5.43332805780479e-06
linear,31313.13131313131,5.478249316760503e-06
linear,32323.23232323232,5.315772743137647e-06
linear,33333.33333333333,5.071303614634422e-06
linear,34343.43434343434,5.056062412067952e-06
linear,35353.53535353535,4.895801911308506e-06
linear,36363.63636363636,4.806507855617327e-06
linear,37373.73737373737,4.9095612206465105e-06
linear,38383.83838383838,4.46362753525197e-06
linear,39393.93939393939,4.694228838156595e-06
linear,40404.0404040404,4.336984164785058e-06
linear,41414.14141414141,4.276254038730354e-06
linear,42424.242424242424,4.193331658901958e-06
linear,43434.343434343435,4.252372634062197e-06
linear,44444.444444444445,4.117927230906346e-06
linear,45454.54545454545,4.020241908291873e-06
linear,46464.64646464646,3.9497151111233195e-06
linear,47474.74747474747,4.032486066346806e-06
linear,48484.84848484848,3.8077614012980326e-06
linear,49494.94949494949,3.5603041413251223e-06
linear,50505.0505050505,3.6498593389601797e-06
linear,51515.15151515151,3.641706927184057e-06
linear,52525.25252525252,3.4399163840566644e-06
linear,53535.35353535353,3.4608773376620126e-06
linear,54545.454545454544,3.35453219419039e-06
linear,55555.555555555555,3.1524704959789534e-06
linear,56565.656565656565,3.1868551673931707e-06
linear,57575.757575757576,3.2337058395745752e-06
linear,58585.85858585858,2.8057088181912656e-06
linear,59595.95959595959,3.0349193337551367e-06
linear,60606.0606060606,2.894470688169085e-06
linear,61616.16161616161,2.8584852985512855e-06
linear,62626.26262626262,2.9712152679357855e-06
linear,63636.36363636363,2.7464560929836994e-06
linear,64646.46464646464,2.763536517515123e-06
linear,65656.56565656565,2.8577702588045046e-06
linear,66666.66666666666,2.6253251141533065e-06
linear,67676.76767676767,2.503972072598168e-06
linear,68686.86868686868,2.5790433989082246e-06
linear,69696.9696969697,2.491038278583157e-06
linear,70707.0707070707,2.591093020351815e-06
linear,71717.17171717172,2.4609895033949447e-06
linear,72727.27272727272,2.1797976699898137e-06
linear,73737.37373737374,2.3647812971111265e-06
linear,74747.47474747474,2.1575316682365947e-06
linear,75757.57575757576,2.200909917213309e-06
linear,76767.67676767676,2.1524308775831026e-06
linear,77777.77777777777,2.184020935409809e-06
linear,78787.87878787878,2.2564142045979163e-06
linear,79797.97979797979,2.096513255879493e-06
linear,80808.0808080808,2.044289382863791e-06
linear,81818.18181818181,1.9221130818619167e-06
linear,82828.28282828283,2.006566973545953e-06
linear,83838.38383838383,1.9862045660770342e-06
linear,84848.48484848485,1.8388869750499685e-06
linear,85858.58585858585,1.6629587227540738e-06
linear,86868.68686868687,1.9504091550193906e-06
linear,87878.78787878787,1.8628822714876933e-06
linear,88888.88888888889,1.528090380682254e-06
linear,89898.9898989899,1.6724758738429783e-06
linear,90909.0909090909,1.7102321540699318e-06
linear,91919.19191919192,1.690040332441985e-06
linear,92929.29292929292,1.616744549242005e-06
linear,93939.39393939394,1.5916944578815856e-06
linear,94949.49494949494,1.5903563964645928e-06
linear,95959.59595959596,1.5343079199107763e-06
linear,96969.69696969696,1.3376976029860282e-06
linear,97979.79797979798,1.4914881107436425e-06
linear,98989.89898989898,1.3266880200876257e-06
linear,100000.0,1.4266407153995836e-06
exp,0.0,1.0094587282887376e-05
exp,1010.10101010101,9.671179650595784e-06
exp,2020.20202020202,9.725516271544505e-06
exp,3030.30303030303,9.264059664477926e-06
exp,4040.40404040404,9.15318596485464e-06
exp,5050.50505050505,9.069786154558093e-06
exp,6060.60606060606,8.745360576876188e-06
exp,7070.707070707071,8.434841154476947e-06
exp,8080.80808080808,8.209547041094729e-06
exp,9090.90909090909,8.361952108727317e-06
exp,10101.0101010101,8.09954161815082e-06
exp,11111.111111111111,8.12031593725709e-06
exp,12121.21212121212,7.73547721533676e-06
exp,13131.31313131313,7.707908693863376e-06
exp,14141.414141414141,7.360331130454643e-06
exp,15151.51515151515,7.177647103163912e-06
exp,16161.61616161616,7.103898139015059e-06
exp,17171.71717171717,7.143579647395715e-06
exp,18181.81818181818,6.863985824148427e-06
exp,19191.91919191919,6.7014636010924635e-06
exp,20202.0202020202,6.565906275672144e-06
exp,21212.121212121212,6.358743820633587e-06
exp,22222.222222222223,6.241044119770589e-06
exp,23232.32323232323,6.049011852767466e-06
exp,24242.42424242424,6.091519242983654e-06
exp,25252.52525252525,5.928060685312551e-06
exp,26262.62626262626,5.987530130072578e-06
exp,27272.727272727272,5.536277219967837e-06
exp,28282.828282828283,5.654263182701717e-06
exp,29292.92929292929,5.385008314783083e-06
exp,30303.0303030303,5.240328392601452e-06
exp,31313.13131313131,5.108668571319154e-06
exp,32323.23232323232,5.178769002851491e-06
exp,33333.33333333333,5.0002480560845185e-06
exp,34343.43434343434,4.98656866953947e-06
exp,35353.53535353535,4.814235516401715e-06
exp,36363.63636363636,4.716721920296257e-06
exp,37373.73737373737,4.502607079798753e-06
exp,38383.83838383838,4.350531792748386e-06
exp,39393.93939393939,4.510736519577608e-06
exp,40404.0404040404,4.497220016874191e-06
exp,41414.14141414141,4.211988648748998e-06
exp,42424.242424242424,3.982074248152625e-06
exp,43434.343434343435,4.097168530199014e-06
exp,44444.444444444445,3.929082430129178e-06
exp,45454.54545454545,3.845572767073486e-06
exp,46464.64646464646,3.865045215985075e-06
exp,47474.74747474747,3.7515860009237303e-06
exp,48484.84848484848,3.620478206451308e-06
exp,49494.94949494949,3.7726891640626347e-06
exp,50505.0505050505,3.6225509845595884e-06
exp,51515.15151515151,3.409666838550206e-06
exp,52525.25252525252,3.226025186164037e-06
exp,53535.35353535353,3.1756564500886404e-06
exp,54545.454545454544,3.251182945198627e-06
exp,55555.555555555555,3.24432982242418e-06
exp,56565.656565656565,3.1316975822158036e-06
exp,57575.757575757576,2.9182734561244494e-06
exp,58585.85858585858,2.916583764079013e-06
exp,59595.95959595959,2.9831843452613507e-06
exp,60606.0606060606,2.7724655219653794e-06
exp,61616.16161616161,2.8302545863680575e-06
exp,62626.26262626262,2.517260810676982e-06
exp,63636.36363636363,2.577803420726748e-06
exp,64646.46464646464,2.3399168063404e-06
exp,65656.56565656565,2.487601841253399e-06
exp,66666.66666666666,2.4870688955500096e-06
exp,67676.76767676767,2.5155069300569298e-06
exp,68686.86868686868,2.487039863879175e-06
exp,69696.9696969697,2.4461871378999816e-06
exp,70707.0707070707,2.252957946282008e-06
exp,71717.17171717172,2.2896898195534203e-06
exp,72727.27272727272,2.2950503383185207e-06
exp,73737.37373737374,2.216410891702899e-06
exp,74747.47474747474,1.99483965632265e-06
exp,75757.57575757576,1.9030113580684751e-06
exp,76767.67676767676,1.983404339588082e-06
exp,77777.77777777777,1.8979752571314633e-06
exp,78787.87878787878,1.8392803325359884e-06
exp,79797.97979797979,1.8472177660362216e-06
exp,80808.0808080808,1.959847818756949e-06
exp,81818.18181818181,1.8651658372660977e-06
exp,82828.28282828283,1.8739240870578214e-06
