Function,Algorithm,Average_Rank
Sphere,SOCIAL,4.0
Sphere,DE,3.0
Sphere,PSO,2.0
Sphere,GWO,1.0
Schwefel_2_22,SOCIAL,3.2
Schwefel_2_22,DE,2.2
Schwefel_2_22,PSO,3.6
Schwefel_2_22,GWO,1.0
Schwefel_1_2,SOCIAL,3.3
Schwefel_1_2,DE,2.3
Schwefel_1_2,PSO,3.4
Schwefel_1_2,GWO,1.0
Schwefel_2_21,SOCIAL,3.2333333333333334
Schwefel_2_21,DE,3.7666666666666666
Schwefel_2_21,PSO,2.0
Schwefel_2_21,GWO,1.0
Rosenbrock,SOCIAL,3.3333333333333335
Rosenbrock,DE,1.8333333333333333
Rosenbrock,PSO,2.2
Rosenbrock,GWO,2.6333333333333333
Step,SOCIAL,1.0
Step,DE,2.1666666666666665
Step,PSO,3.4
Step,GWO,3.433333333333333
Quartic,SOCIAL,3.7333333333333334
Quartic,DE,2.933333333333333
Quartic,PSO,2.3333333333333335
Quartic,GWO,1.0
Schwefel_2_26,SOCIAL,3.1666666666666665
Schwefel_2_26,DE,1.1
Schwefel_2_26,PSO,1.9666666666666666
Schwefel_2_26,GWO,3.7666666666666666
Rastrigin,SOCIAL,2.033333333333333
Rastrigin,DE,3.1333333333333333
Rastrigin,PSO,3.8333333333333335
Rastrigin,GWO,1.0
Ackley,SOCIAL,3.8666666666666667
Ackley,DE,1.7666666666666666
Ackley,PSO,3.1333333333333333
Ackley,GWO,1.2333333333333334
Griewank,SOCIAL,3.6666666666666665
Griewank,DE,1.1333333333333333
Griewank,PSO,3.033333333333333
Griewank,GWO,2.1666666666666665
Penalized,SOCIAL,3.966666666666667
Penalized,DE,1.6
Penalized,PSO,2.066666666666667
Penalized,GWO,2.3666666666666667
Penalized2,SOCIAL,3.9
Penalized2,DE,1.6
Penalized2,PSO,1.4666666666666666
Penalized2,GWO,3.033333333333333
Foxholes,SOCIAL,3.066666666666667
Foxholes,DE,1.4666666666666666
Foxholes,PSO,1.5333333333333334
Foxholes,GWO,3.933333333333333
Kowalik,SOCIAL,2.5
Kowalik,DE,2.1
Kowalik,PSO,2.5
Kowalik,GWO,2.9
Camel-Back,SOCIAL,3.066666666666667
Camel-Back,DE,1.0
Camel-Back,PSO,2.0
Camel-Back,GWO,3.933333333333333
Branin,SOCIAL,3.0
Branin,DE,1.0
Branin,PSO,2.0
Branin,GWO,4.0
Goldstein-Price,SOCIAL,3.933333333333333
Goldstein-Price,DE,1.0333333333333334
Goldstein-Price,PSO,2.2
Goldstein-Price,GWO,2.8333333333333335
Hartman,SOCIAL,2.966666666666667
Hartman,DE,1.0
Hartman,PSO,2.033333333333333
Hartman,GWO,4.0
Shekel1,SOCIAL,2.3333333333333335
Shekel1,DE,2.1
Shekel1,PSO,2.533333333333333
Shekel1,GWO,3.033333333333333
Shekel2,SOCIAL,2.6
Shekel2,DE,1.1666666666666667
Shekel2,PSO,2.8333333333333335
Shekel2,GWO,3.4
Shekel3,SOCIAL,2.566666666666667
Shekel3,DE,1.8666666666666667
Shekel3,PSO,3.033333333333333
Shekel3,GWO,2.533333333333333
Shekel4,SOCIAL,2.7
Shekel4,DE,1.6
Shekel4,PSO,3.0
Shekel4,GWO,2.7
Overall,SOCIAL,3.092753623188406
