Iteration,Best_Fitness
0,-0.8943674275880411
1,-1.0113327597411308
2,-1.0079003839034864
3,-1.0202241114306922
4,-1.0273650969313342
5,-1.0311714682506665
6,-1.0290558131976641
7,-1.0310060873418547
8,-1.0284278396807247
9,-1.0316182190550083
10,-1.031214699997166
11,-1.0314471946909631
12,-1.0312010461076353
13,-1.0309304704175029
14,-1.0314047778226325
15,-1.0316042957341098
16,-1.0315038892913855
17,-1.031604040404915
18,-1.031424361013006
19,-1.0315623387127384
20,-1.0314861853586599
21,-1.031617513149746
22,-1.0316081012024605
23,-1.0315514350132922
24,-1.03161375453641
25,-1.0316148418493172
26,-1.0315346489681432
27,-1.0315370697723585
28,-1.0314848975257298
29,-1.031569257394851
30,-1.0311798511769676
31,-1.03161512751813
32,-1.0312851971594614
33,-1.0315515001950832
34,-1.0314899658436556
35,-1.0316212689251125
36,-1.0316274156514902
37,-1.0316141620640338
38,-1.0316237483122062
39,-1.0315957475710995
40,-1.0316196111145501
41,-1.031570235916125
42,-1.031586349889448
43,-1.031590826850481
44,-1.0315339999224002
45,-1.0316052314230268
46,-1.031508036615744
47,-1.0315109039793093
48,-1.031543977703884
49,-1.0315203020998915
50,-1.0316237905374623
51,-1.0316028124045964
52,-1.0314317832746955
53,-1.0303886216506293
54,-1.0314069126543224
55,-1.0313392763090299
56,-1.031606032190547
57,-1.03162215156909
58,-1.0316221768558158
59,-1.0315776224996065
60,-1.0316126079160175
61,-1.0316245605885332
62,-1.031627905291071
63,-1.031628245349397
64,-1.031618714976743
65,-1.0316206477125345
66,-1.0316249274702283
67,-1.031624379612567
68,-1.0316234179271746
69,-1.0316257794082166
70,-1.0316204586649111
71,-1.0316254393534912
72,-1.031623000959983
73,-1.0316229883504997
74,-1.03162198176933
75,-1.0316213346080159
76,-1.0316237242495685
77,-1.0316135249204734
78,-1.0316275496555256
79,-1.0315465679442002
80,-1.031580345682457
81,-1.0316108558838826
82,-1.0316024415578675
83,-1.0316208767640545
84,-1.031627680076742
85,-1.031614834086232
86,-1.0315462635248378
87,-1.0316275181601595
88,-1.0316282434786885
89,-1.0316268556382748
90,-1.0316277160437934
91,-1.0316279843412413
92,-1.0316252896851101
93,-1.0316229800282808
94,-1.0316275398742702
95,-1.0316249607796937
96,-1.0316274055971744
97,-1.0316207926451055
98,-1.03162733497374
99,-1.0316253272596398
100,-1.0316253272596398
101,-1.0316251133394239
102,-1.0315946021249078
103,-1.0314248613996533
104,-1.0315512802946434
105,-1.0315876030378863
106,-1.0316027054115002
107,-1.0316282404466763
108,-1.0316246815654153
109,-1.031625379390645
110,-1.0316180458340534
111,-1.0316248781034758
112,-1.0316281995251402
113,-1.0316254493656367
114,-1.031626985869902
115,-1.03162466653726
116,-1.0316281510651952
117,-1.0316270499190652
118,-1.0316276544250307
119,-1.0316278610039993
120,-1.0316282835979533
121,-1.0316284076367273
122,-1.0316280491690786
123,-1.031627025270792
124,-1.0316082488599916
125,-1.0316280106618256
126,-1.0316277137570438
127,-1.0316247929688955
128,-1.03161974053435
129,-1.0316265398702456
130,-1.0316212221113512
131,-1.031604185164648
132,-1.0315863800773968
133,-1.0316260261106038
134,-1.0316279924828915
135,-1.0316096057803839
136,-1.0316117826050142
137,-1.0316201991528864
138,-1.0316232546461666
139,-1.0316248830366552
140,-1.0316279395192534
141,-1.0316277931743576
142,-1.0316279560364137
143,-1.0316204763573364
144,-1.0316228146037278
145,-1.0316260691380896
146,-1.0316273495911081
147,-1.0316262456494638
148,-1.031626317360838
149,-1.0316279691064913
150,-1.0316232572441046
151,-1.0316266613134437
152,-1.0316136980901778
153,-1.0315669184221834
154,-1.0314035403959814
155,-1.03159801562411
156,-1.0314503519958318
157,-1.0316091483940273
158,-1.0316248760835571
159,-1.0315979779413962
160,-1.0316181503643977
161,-1.031623863088911
162,-1.0316240261362606
163,-1.0316265611195712
164,-1.0316281774121225
165,-1.0316212240652498
166,-1.0316254131242282
167,-1.0316251152295652
168,-1.0316271914503863
169,-1.0316216635492257
170,-1.0316257572300547
171,-1.0316281417832984
172,-1.0316215671096807
173,-1.0316268790551664
174,-1.0316155191640073
175,-1.031611581783576
176,-1.0316147189435625
177,-1.03161921627176
178,-1.0316058188579453
179,-1.0315821887785814
180,-1.0316127663048453
181,-1.0316154547839813
182,-1.0315916514897414
183,-1.031566990007164
184,-1.0312733248935309
185,-1.031455008529672
186,-1.031617412883005
187,-1.0316212159867753
188,-1.0316264336002199
189,-1.0316282921719353
190,-1.0316228416785933
191,-1.031624484235882
192,-1.0316235572672925
193,-1.0316277295758303
194,-1.0316272095945664
195,-1.0316271506013894
196,-1.0316283741582177
197,-1.031627614686196
198,-1.0316275751927722
199,-1.031628185774433
200,-1.0316256148919838
201,-1.031628356228636
202,-1.031628152813572
203,-1.0315491138776374
204,-1.0316157525394898
205,-1.031621097154095
206,-1.0314005672937
207,-1.0316214020323466
208,-1.0316214020323466
209,-1.0316239397760576
210,-1.0316260955556222
211,-1.0316038775694922
212,-1.0316139601999565
213,-1.0316012974001698
214,-1.031605208330063
215,-1.031615744449037
216,-1.0316267873367804
217,-1.031628130011351
218,-1.0316268145276755
219,-1.0316225795493017
220,-1.0316275918938351
221,-1.0316250953682502
222,-1.031626674757233
223,-1.0316281651336539
224,-1.031628419106838
225,-1.0316277799062743
226,-1.0316268939857731
227,-1.0316262997815648
228,-1.0316053712641022
229,-1.0315608723983396
230,-1.031584635489069
231,-1.0316233091432097
232,-1.031623732156469
233,-1.0315749320186245
234,-1.0316276522403753
235,-1.0316266824604718
236,-1.031628205425151
237,-1.0316221638709404
238,-1.0316240538201005
239,-1.0316280966730553
240,-1.0316284534197995
241,-1.0316283266280262
242,-1.0316282988008505
243,-1.0316254042465964
244,-1.0316276032257918
245,-1.0316283506415866
246,-1.0316284444295343
247,-1.0316284233408062
248,-1.0316279491860763
249,-1.0316280582556552
250,-1.0316280271841018
251,-1.0316281187574199
252,-1.0316278605059328
253,-1.0314344153749606
254,-1.0316223553656902
255,-1.0316032589272783
256,-1.0316282658464204
257,-1.031627753892751
258,-1.0316279645824797
259,-1.0316268355295066
260,-1.0316266163729786
261,-1.031626283255204
262,-1.0316252583188235
263,-1.0316278430672805
264,-1.0316267785820485
265,-1.0316263138127524
266,-1.0316263133868395
267,-1.031627159933493
268,-1.0316269665180018
269,-1.0316276066807906
270,-1.0316268515306122
271,-1.031627626075704
272,-1.0316260718382866
273,-1.0316158071534505
274,-1.0316167325109864
275,-1.031623752247037
276,-1.0316270876831772
277,-1.031626275163429
278,-1.0316047882445685
279,-1.0316178265408997
280,-1.0316252321794637
281,-1.0316277286745317
282,-1.031625905397426
283,-1.0315803668180452
284,-1.0315881681186503
285,-1.0316280419698864
286,-1.031626235845154
287,-1.031626693390264
288,-1.0316272114979708
289,-1.0316274463835746
290,-1.0316258262710643
291,-1.0316279733562228
292,-1.0316246071604416
293,-1.0316203594814186
294,-1.0315379967575842
295,-1.0316231677792544
296,-1.0316201832979623
297,-1.0316241058337832
298,-1.0316211545997518
299,-1.031627481533658
300,-1.0316262885927228
301,-1.0316277645627898
302,-1.03161437903168
303,-1.0315575559105292
304,-1.0316250473043134
305,-1.0316062336298824
306,-1.0316205031498056
307,-1.0316252744534644
308,-1.031624941113634
309,-1.0316282235857661
310,-1.031625051506095
311,-1.031628422722507
312,-1.0316260919517917
313,-1.0316248928670508
314,-1.0316256770721175
315,-1.0316279045341006
316,-1.0316203296387025
317,-1.0316258727411267
318,-1.0316252664485333
319,-1.031624810996536
320,-1.0316256423052783
321,-1.0316241399070343
322,-1.0316250607399728
323,-1.0316255027971064
324,-1.0316283234315706
325,-1.0316188202853893
326,-1.031628248682512
327,-1.0316243212445002
328,-1.0314961310965234
329,-1.0311438087060818
330,-1.0315228580789353
331,-1.0316277642674776
332,-1.0316280996669553
333,-1.031608362153738
334,-1.0316043086087445
335,-1.03162186411687
336,-1.0316183743625302
337,-1.0316281157255178
338,-1.0316245025778452
339,-1.0316282105078562
340,-1.0316250928349036
341,-1.0316270447062608
342,-1.0316238450070843
343,-1.0316277226125408
344,-1.0316281990449994
345,-1.031627144084019
346,-1.0316265770813193
347,-1.0316251057072352
348,-1.0316267891603044
349,-1.0316259839058017
350,-1.0316265639850943
351,-1.0316256869762137
352,-1.0314217810630892
353,-1.0314754416790533
354,-1.0316264952711647
355,-1.031627480200721
356,-1.0316283844965664
357,-1.0316277183906575
358,-1.0316277972833092
359,-1.0316271267559909
360,-1.0316282259098295
361,-1.0316280978329684
362,-1.0316282298424355
363,-1.031628018559778
364,-1.0316116479471753
365,-1.0316185395424833
366,-1.0316281942780008
367,-1.031628037344514
368,-1.0316284397800017
369,-1.0316271665278494
370,-1.0316284234630217
371,-1.0316279918037374
372,-1.03162805174607
373,-1.0316284272719638
374,-1.0316271076352392
375,-1.0316276267568882
376,-1.0316284450206759
377,-1.0316284241896216
378,-1.028924547357154
379,-1.0314717102343234
380,-1.031467967365141
381,-1.0316254863671388
382,-1.0316277316343858
383,-1.0316282513561
384,-1.031628449784861
