Iteration,Average_Fitness
0,29024.79334823504
1,11245.428261053577
2,5280.325241963027
3,-3726.4446879392667
4,-10859.756424033136
5,-10509.809853470168
6,-13280.261215721419
7,-16205.431569853994
8,-15832.823506858225
9,-18624.961896933415
10,-20801.14671580903
11,-27085.184976293356
12,-20492.5225259965
13,-31210.676296853933
14,-36702.88057947973
15,-38056.3431395256
16,-41337.22946415975
17,-45614.152206423794
18,-49515.18231366695
19,-52608.25896649906
20,-56470.284759911076
21,-61141.732089234145
22,-59896.10879370071
23,-70825.40893737896
24,-75722.80107075823
25,-79987.15962546991
26,-83026.26627007216
27,-95963.91055219367
28,-98630.3195222653
29,-104350.59190278673
30,-109161.75953779015
31,-114035.75489715143
32,-116046.79630831769
33,-121020.96906957358
34,-123502.21608806546
35,-127940.5022856035
36,-131510.1275779877
37,-135519.66782869105
38,-139184.51264732782
39,-142545.7436429457
40,-145517.44300982764
41,-148749.35450746518
42,-146771.18645997773
43,-147683.1625540257
44,-148277.21047883897
45,-151404.34252091812
46,-153783.1463651067
47,-154690.66039952164
48,-154971.37605567797
49,-157350.3015683186
50,-157304.2601621192
51,-153556.8109908138
52,-152038.78873159728
53,-150979.6794290975
54,-152322.91944082503
55,-155449.2536235544
56,-157283.30536462343
57,-156001.43422127172
58,-155757.41312295184
59,-156157.1654204095
60,-156615.13238598456
61,-157241.60119171857
62,-159049.8750874677
63,-156713.4785865729
64,-154105.40744138433
65,-156050.19780331827
66,-155739.3470737497
67,-157377.26795675373
68,-155603.17676276187
69,-155541.9189961196
70,-153131.68043817257
71,-162268.12267587442
72,-149981.25855395186
73,-151549.9587513729
74,-155119.53583254252
75,-153900.8839145576
76,-143826.75429340405
77,-150450.4277508158
78,-151579.73233024328
79,-154685.67315975353
80,-158097.24495906316
81,-159512.75520304174
82,-158030.86333522532
83,-156865.85380319567
84,-157399.17848250418
85,-156733.6138771246
86,-158000.41762446635
87,-155733.37660782557
88,-154671.5857411858
89,-157070.6510304264
90,-158293.62703659837
91,-165915.79621734258
92,-148580.40048546795
93,-147533.3518763316
94,-149469.92598838668
95,-148262.79378845272
96,-148103.49558713948
97,-149282.3040253647
98,-145624.16460581278
99,-143718.32423739025
100,-143772.54501707057
101,-150469.37593404716
102,-142373.7475939544
103,-146316.2974699402
104,-147379.45425519894
105,-151215.4540144267
106,-151752.93121897432
107,-149733.09156527903
108,-149236.30391000785
109,-147064.6122329727
110,-147738.87800408187
111,-153186.81066207105
112,-146363.2098314712
113,-145715.00027290842
114,-146247.3336948843
115,-146323.79848182554
116,-144777.11984001112
117,-144621.47311411262
118,-144537.27873304804
119,-144447.8705854019
120,-144645.95752784098
121,-157556.44627105186
122,-143931.5102491747
123,-144641.55193972797
124,-142979.66222118307
125,-143784.85158695112
126,-138596.934222807
127,-144814.24986485913
128,-144430.93497636635
129,-147284.71417903423
130,-147965.69053774656
131,-152104.7659151477
132,-135291.6805404421
133,-123963.62904388795
134,-121388.09255810005
135,-118752.36180302844
136,-116797.51545473476
137,-114855.12671616838
138,-113047.61377189663
139,-112654.7399932293
140,-110220.22086748396
141,-119658.12428232413
142,-117618.33548252207
143,-111936.32838241583
144,-111560.17480046673
145,-109354.1956037381
146,-110320.94698168186
147,-109594.75703276775
148,-110242.28545215372
149,-109392.44067022209
150,-110277.56554873419
151,-113482.4424844743
152,-114770.6156170539
153,-109994.25057141356
154,-109350.32182709413
155,-108899.45199828867
156,-107157.39723537314
