Iteration,Best_Fitness
0,-164004.07691987924
1,-136879.4772586007
2,-182313.3492038324
3,-182335.50280707804
4,-182376.5718971254
5,-182318.32752728593
6,-182376.77363030394
7,-182375.74345862158
8,-182375.75320758563
9,-182376.54131852114
10,-182375.74153913368
11,-342254.89971308364
12,-182297.06752835202
13,-182316.450564207
14,-182357.9919173756
15,-160612.0035220732
16,-160142.91492896446
17,-167017.2334298369
18,-167580.9531672273
19,-161109.94088504565
20,-154398.97340848387
21,-648433.1051645549
22,-166292.88506055513
23,-182376.6178535023
24,-182376.78218930145
25,-182328.15949940938
26,-182374.3729322283
27,-182375.01686669284
28,-182376.54692894474
29,-182376.7765624401
30,-182376.78384856205
31,-369005.49655524956
32,-182376.75370877716
33,-182376.62131341096
34,-182376.760467328
35,-182376.7565948551
36,-182376.54509903782
37,-182376.7037346321
38,-182376.77145532682
39,-182376.77918764832
40,-182376.76842023732
41,-550822.419809992
42,-182376.74721488336
43,-182376.7837597936
44,-182376.76714655748
45,-182376.76037366703
46,-182376.78537115265
47,-182376.78082738977
48,-182376.74907374903
49,-182376.71911890138
50,-182376.7794840718
51,-765403.8267380414
52,-182374.48909211654
53,-182376.6366211168
54,-182361.98667599313
55,-182305.96595733598
56,-182244.04359259122
57,-182363.52169905245
58,-181808.68795692106
59,-182345.47943402553
60,-182317.5239884989
61,-560194.5220091504
62,-560194.5220091504
63,-182368.080602848
64,-182374.15759255548
65,-182350.1104970929
66,-182313.10844567258
67,-182366.16795637677
68,-182027.0469268421
69,-181040.265333997
70,-179785.3123426951
71,-995327.608557632
72,-182352.19023712154
73,-182368.48646300877
74,-182369.86619030227
75,-182376.7803914297
76,-182369.53583321552
77,-182375.76824861608
78,-182366.5371802814
79,-182371.61164021987
80,-182340.64930289573
81,-532841.3469234696
82,-182375.33103431205
83,-182376.66207127727
84,-182376.66207127727
85,-182276.4975801399
86,-182340.50637330877
87,-182218.90627229956
88,-182282.6808872603
89,-182376.7852807289
90,-182376.26219967098
91,-1142686.1382195817
92,-270180.70521867584
93,-182351.60167679048
94,-182367.7101370289
95,-182374.85384677682
96,-182376.78092823637
97,-182348.9556194863
98,-182360.86382599143
99,-182131.59325681918
100,-182366.1149774357
101,-923132.6723308453
102,-182342.50634090183
103,-180217.32219335635
104,-182364.275587881
105,-182298.66750249805
106,-182330.89919972277
107,-182268.5508246603
108,-182369.4950115861
109,-182160.47552349433
110,-181729.69772115196
111,-795976.03804531
112,-181579.30075607172
113,-181331.93580812585
114,-181503.0678878197
115,-182356.42854488574
116,-181966.5933579294
117,-182359.0817130997
118,-180956.0048960553
119,-182356.57933866043
120,-182067.02787410095
121,-1003294.2433359213
122,-239966.56233257672
123,-178622.2053909907
124,-177604.9089106416
125,-180887.56209543295
126,-182193.19457839188
127,-181274.23894070173
128,-181893.29875435427
129,-182358.10843163636
130,-181896.39661082358
131,-1160239.271074405
132,-250329.55461376632
133,-176277.97686823664
134,-181994.24815312
135,-169913.50984663496
136,-169168.10210249605
137,-167991.28809111347
138,-175835.83635299891
139,-174882.66656620774
140,-182321.9499559815
141,-861200.9536494275
142,-861200.9536494275
143,-170053.56679946271
144,-158876.87002693972
145,-161996.55789192664
146,-175343.51913869273
147,-180496.41281762355
148,-171324.3698358628
149,-163007.19663010968
150,-158755.22669526466
151,-731291.6177505137
152,-731291.6177505137
153,-168642.31993490257
154,-175877.20097816776
155,-167901.6226549663
156,-171367.98521675344
157,-170991.90087810354
158,-162662.4893642183
159,-167210.98922564564
160,-171600.6516558642
161,-1160338.5071441084
162,-332469.1053533062
163,-164396.5746403433
164,-164396.5746403433
165,-151323.8093865992
166,-131625.47597925976
167,-124931.78178213799
168,-120368.90657265768
169,-122413.20035890842
170,-165488.50940342588
171,-1109499.311438478
172,-1109499.311438478
173,-136538.02176398688
174,-136538.02176398688
175,-110615.9524132589
176,-123133.71894597363
177,-133981.91195955538
178,-158525.69295775698
179,-136465.2679186679
180,-138375.58538898552
181,-828157.3683189236
182,-828157.3683189236
183,-124416.42482174239
184,-89843.92857229803
185,-115039.17604088006
186,-120493.9628856719
187,-125361.50235649117
188,-125361.50235649117
189,-133372.6752448394
190,-133372.6752448394
191,-956286.6466296974
192,-127883.35500826767
193,-149095.2317566735
194,-144879.74885057876
195,-120187.57021833905
196,-125587.78875857267
197,-115064.4693739905
198,-104002.98791223254
199,-151595.92005282582
200,-139456.11791473223
201,-1041246.8150741098
202,-1041246.8150741098
203,-163767.82087435192
204,-122610.2288124076
205,-96668.93955957964
206,-97892.06379561397
207,-90513.09149975513
208,-116003.29057554297
209,-135745.15051704363
210,-130081.99989908698
211,-780936.6327120856
212,-619057.9342289456
213,-158090.11735967765
214,-135305.98588718995
215,-135305.98588718995
216,-120284.69265796427
217,-99424.21476490844
218,-106999.1243725603
219,-176158.8607503189
220,-176158.8607503189
221,-835948.3894931797
222,-518913.9874630768
223,-133634.0680395257
224,-130428.44999835468
225,-129456.76571159317
226,-135024.66060873092
227,-129443.41235978171
228,-129443.41235978171
229,-107338.25001028713
230,-104772.17187065347
231,-952998.8156216722
232,-146470.61428910392
233,-133011.9734634111
234,-132759.86752260348
235,-131225.76334212275
236,-131225.76334212275
237,-112541.94730815175
238,-137087.67646124415
239,-130833.63458428429
240,-98827.76689627803
241,-1119292.7810534863
242,-817959.5885566616
243,-88992.97483115921
244,-107049.1074871729
245,-107049.1074871729
246,-99268.28660476659
247,-94796.41148690727
248,-123990.37692124837
249,-103378.73088310148
250,-124672.37869220675
251,-1137534.1524756048
252,-151591.1368919387
253,-126319.81435544493
254,-129976.5127095501
255,-124621.25266304787
256,-112636.08341457536
257,-128383.86753152001
258,-111496.4599659658
259,-105439.56378851358
260,-96743.2060872994
261,-1091669.6391689717
262,-1091669.6391689717
263,-137195.82825368067
264,-137195.82825368067
265,-113530.19398615605
266,-111426.64831611901
267,-86193.53596184007
268,-93935.45774120395
269,-117550.17082148662
270,-124870.82790700466
271,-277428.0829055406
272,-267524.27378531964
273,-126551.89308838152
274,-105386.99020608196
275,-73590.82276705425
276,-131005.80198623768
277,-99873.47223256741
278,-84631.18252223832
279,-106832.04195923894
280,-88640.8898839977
281,-984507.4524820845
282,-116042.06189987902
283,-83697.74289858542
284,-109005.50699426814
285,-71885.13639182919
286,-76464.6692179856
287,-70283.32476650031
288,-70098.83041628034
289,-139060.25301677137
290,-124716.75085077574
291,-297026.2188296814
292,-125052.42358094668
293,-114524.47842685513
294,-108805.9194852013
295,-145877.15196059554
296,-74452.79834805096
297,-93226.8579287697
298,-95214.07263365854
299,-75745.52005589951
300,-108798.15309204804
301,-1101889.090051208
302,-162717.1178786878
303,-86367.28738685408
304,-97344.13267346314
305,-73976.36289148503
306,-73821.5422732828
307,-93916.89920019888
308,-122928.82918068343
309,-90191.47397560177
310,-115192.19633351722
311,-115054.92380494281
312,-102786.6720163649
313,-152885.25610189443
314,-102742.07656156665
315,-124070.01024774482
316,-90148.73803936594
317,-112583.59422350713
318,-132122.58643484567
319,-72230.13138820282
320,-77432.60912530954
321,-678300.1346700607
322,-162228.44230623348
323,-90801.02393468987
324,-91131.786111445
325,-104892.58583191494
326,-98325.52841098658
327,-154851.22620821974
328,-96726.82642446208
329,-114295.60253003043
330,-110087.92709978168
331,-328884.11053133593
