Iteration,Average_Fitness
0,-0.9920799508747253
1,-1.132063620122189
2,-1.5671264252964952
3,-1.8408943719283108
4,-2.1604700915291892
5,-2.345940897954168
6,-2.527824966644962
7,-2.637844612737742
8,-2.7410103527966356
9,-2.7805548780848395
10,-2.8778252227097814
11,-2.7999080519012245
12,-2.8911368169623395
13,-2.933522724662037
14,-3.0243234262857697
15,-3.0994696763855667
16,-3.1881373758932225
17,-3.2245922294781635
18,-3.2608127567619682
19,-3.266520110214389
20,-3.2811109139578125
21,-3.1813448395732267
22,-3.2759402579252734
23,-3.3117477568286025
24,-3.3634517955761067
25,-3.3872992042335066
26,-3.4146010244974856
27,-3.5664816867822835
28,-3.591564576795554
29,-3.6233044111499666
30,-3.6403105925204104
31,-3.582609302829831
32,-3.59597021867306
33,-3.621482372730667
34,-3.6327378048584715
35,-3.6555251491717096
36,-3.6470638136122706
37,-3.6505445306669224
38,-3.658326756339893
39,-3.657864717046523
40,-3.652128328875432
41,-3.5206916039590577
42,-3.5096317793348635
43,-3.558388197643323
44,-3.573570303676456
45,-3.565938933301312
46,-3.5576961064221115
47,-3.5522243582861015
48,-3.5482356261832897
49,-3.542289458537437
50,-3.536246440479847
51,-3.3843862130367226
52,-3.4914987716175014
53,-3.539169853903921
54,-3.564121719703665
55,-3.5731143603092748
56,-3.5857985553390925
57,-3.5873992960408727
58,-3.5785088285947677
59,-3.5750806108874107
60,-3.565949124135439
61,-3.4435700749443154
62,-3.451448316501877
63,-3.4791337163597778
64,-3.4922036021511835
65,-3.4913420225252345
66,-3.491714731064726
67,-3.4871750188384114
68,-3.485630891135264
69,-3.489008764626657
70,-3.484777242926177
71,-3.4218218539835665
72,-3.4730929730439146
73,-3.486545847259691
74,-3.4972456654318544
75,-3.4974330419162047
76,-3.4941519043696827
77,-3.6310159397728254
78,-3.629528140811176
79,-3.6364946450895665
80,-3.632585122971647
81,-3.4733375448702404
82,-3.4937478345079596
83,-3.4966362669655187
84,-3.5051161963900617
85,-3.480828659482063
86,-3.4789011667805987
87,-3.466417764917061
88,-3.462904719448082
89,-3.4545030559604055
90,-3.449776687413083
91,-3.302584482900741
92,-3.338448173126167
93,-3.3480742811000166
94,-3.3386063387536864
95,-3.3409414986961927
96,-3.3422630931457347
97,-3.3416709015791124
98,-3.3258054617078843
99,-3.3298898412362115
100,-3.307480251532821
101,-3.0519040511696205
102,-3.2674172575910925
103,-3.2657367092744236
104,-3.247840918907213
105,-3.2644511715638966
106,-3.2508222641219384
107,-3.2592673678122
108,-3.2277758511969226
109,-3.223818829710395
110,-3.2196329685598424
111,-3.0993260443582966
112,-3.137264215972314
113,-3.1395903846743356
114,-3.127300396917825
115,-3.1292557301274573
116,-3.1388374635225564
117,-3.1283302277826013
118,-3.104421476264968
119,-3.095771150222052
120,-3.0904716967482377
121,-2.94740599385489
122,-2.989742934280685
123,-2.987747107538569
124,-2.990603704206063
125,-2.9879506027054026
126,-2.9792037630835297
127,-3.1789295559391983
128,-3.24531362025967
129,-3.245124242166338
130,-3.3124753474549946
131,-3.204995164160442
132,-3.2595189180663753
133,-3.2831159384547086
134,-3.2988128487066146
135,-3.3101253343527355
136,-3.3304887270236008
137,-3.322417780955547
138,-3.327337956228972
139,-3.3192603989710223
140,-3.332013502724212
141,-3.186451601649287
142,-3.2231414565642313
143,-3.2600117589320248
144,-3.266635764949183
145,-3.284758021242952
146,-3.2823849945308736
147,-3.286055438705821
148,-3.295526634353682
149,-3.3019042329917245
150,-3.3062487589630183
151,-3.27542620877568
152,-3.4470645550152805
153,-3.4533732419977423
154,-3.4502727715862753
155,-3.4464472573991753
156,-3.4511472183411387
157,-3.4430615305618333
158,-3.442169934964217
159,-3.439586538536167
160,-3.436883065094944
161,-3.2442905397111192
162,-3.2477102683851915
163,-3.276856139134833
164,-3.2861926204284186
165,-3.2908019086910385
166,-3.289343277291024
167,-3.297691363078251
168,-3.2892872409775022
169,-3.290045407658782
170,-3.282533783282881
171,-3.202644305652588
172,-3.2239850435529305
173,-3.241035337990178
174,-3.246434626162901
175,-3.2551212627569335
176,-3.3173061354271685
177,-3.454253102482212
178,-3.456482998113633
179,-3.4488845146815312
180,-3.448262004842678
181,-3.317370126156268
182,-3.306203544925965
183,-3.334539506971411
184,-3.329888826403346
185,-3.3542944209852577
186,-3.352790147773178
187,-3.3677693882148843
188,-3.362039976187203
189,-3.3695916528953207
190,-3.365915318101692
191,-3.262105998632465
192,-3.316244297885456
193,-3.3188053303234284
194,-3.3249182304529254
195,-3.324831927521854
196,-3.3200484645256663
197,-3.3129581297195343
198,-3.308485257839641
199,-3.3099147137459797
200,-3.315642134750085
201,-3.193074285078424
202,-3.3332229950789776
203,-3.3421113591034395
204,-3.3460889187817204
205,-3.344318107342115
206,-3.3483992842260726
207,-3.3480527760708454
208,-3.3529729220946183
209,-3.3541017941694076
210,-3.3455013805340026
211,-3.2161749346664315
212,-3.2074094832440996
213,-3.2146573421077256
214,-3.2172400242808674
215,-3.204778578641307
216,-3.2126427437522964
217,-3.208305456274418
218,-3.205985494212582
219,-3.2026433493894317
220,-3.2024969294908296
221,-3.112344060513001
222,-3.122745296143072
223,-3.1272857303308337
224,-3.1267069460331176
225,-3.132093146967858
226,-3.213683273431402
227,-3.364873235912312
228,-3.367027275456531
229,-3.3664842306275493
230,-3.357357803841525
