Iteration,Best_Fitness
0,-3.716626835561097
1,-3.7704315293837127
2,-3.8119387831052265
3,-3.861376259916772
4,-3.8521806725907735
5,-3.854711604391264
6,-3.8610270707755894
7,-3.8614888952161874
8,-3.8616207082831937
9,-3.861709895912434
10,-3.86156312291281
11,-3.8622362983529355
12,-3.86252767940765
13,-3.8620495260491756
14,-3.8625511669682413
15,-3.8622921785936866
16,-3.862705291782677
17,-3.862479147788569
18,-3.8627792979902047
19,-3.862666432440065
20,-3.862559566665784
21,-3.8627532293558975
22,-3.862737889092956
23,-3.8627611980827683
24,-3.862754854647568
25,-3.8627794841209484
26,-3.862736696249036
27,-3.862681790415144
28,-3.8626691068330596
29,-3.8626741808445044
30,-3.862745347944374
31,-3.8627552345748617
32,-3.862753593046021
33,-3.862669162565392
34,-3.8627144890583214
35,-3.8627547229600467
36,-3.8627771096272774
37,-3.862759041951123
38,-3.862772071738844
39,-3.8627678344160277
40,-3.862778892650715
41,-3.862756802355883
42,-3.8627788396089717
43,-3.862768099066402
44,-3.8627716443474247
45,-3.8627716443474247
46,-3.862775170439921
47,-3.8627740053841864
48,-3.862778361475263
49,-3.8627786488263407
50,-3.8627795071164353
51,-3.8627785967718906
52,-3.8627774152460783
53,-3.8627773714032463
54,-3.8627714137845626
55,-3.8626761261062157
56,-3.8627703945159273
57,-3.8627783499004025
58,-3.862776995440011
59,-3.8627790495315004
60,-3.862779511712546
61,-3.862779020862224
62,-3.8627788466723922
63,-3.8627767462135303
64,-3.8627795585963853
65,-3.8627791274968013
66,-3.862777637516877
67,-3.8627735329066275
68,-3.862776831058743
69,-3.8627787446697885
70,-3.8627769985807765
71,-3.8627786520138336
72,-3.8627793630201097
73,-3.862779106231811
74,-3.8627783002318146
75,-3.8627774429901107
76,-3.862778463877078
77,-3.862779647519351
78,-3.862772823038589
79,-3.8627789239741452
80,-3.86277753262591
81,-3.8627687515489475
82,-3.8627718602768164
83,-3.862767500548294
84,-3.862768118169256
85,-3.862773935475107
86,-3.8627747018144536
87,-3.8627784712441238
88,-3.8627762757529873
89,-3.862776570200254
90,-3.86277456194068
91,-3.862773695299652
92,-3.862764519992203
93,-3.8627690857855184
94,-3.862751839012885
95,-3.862775442930028
96,-3.8627481303812274
97,-3.8627481303812274
98,-3.8627127448794143
99,-3.862721882804286
100,-3.862768168998324
101,-3.8627772560528477
102,-3.862693449332344
103,-3.862728350638471
104,-3.862730363081806
105,-3.862763901621555
106,-3.862739344345498
107,-3.862745516602851
108,-3.862768656875959
109,-3.8627489266072543
110,-3.8627405099759216
111,-3.8627306935808132
112,-3.862729456196465
113,-3.8626496698011934
114,-3.862720540858736
115,-3.862775639455669
116,-3.862730768198464
117,-3.8627557286446788
118,-3.8627740719727504
119,-3.862753995572609
120,-3.8627787612124953
121,-3.862755964199389
122,-3.8627521422394038
123,-3.8627516162067352
124,-3.8627568154004264
125,-3.862762697103401
126,-3.86277956803041
127,-3.8627784498705537
128,-3.8621370779820214
129,-3.8627637639837897
130,-3.8625700658865707
131,-3.8627776735541355
132,-3.8627627904688073
133,-3.862753749009657
134,-3.8627498784691072
135,-3.8622701582259906
136,-3.8627646025703872
137,-3.8627365966975615
138,-3.862766819939339
139,-3.8627607168244578
140,-3.8627687833241846
