Iteration,Average_Fitness
0,623480200.538913
1,211433282.5014195
2,165882267.751244
3,78361427.48187067
4,62100898.81283774
5,56229552.026606426
6,50633497.45844087
7,48069626.37289323
8,49070534.53247351
9,48254817.06977962
10,47974369.3586024
11,47106267.374449134
12,48414660.83549476
13,50253969.436091155
14,48055082.023876
15,47490037.876040116
16,47295607.98294515
17,48714746.112796456
18,46578943.13656888
19,48553582.3308644
20,48391643.900298595
21,49566289.00326049
22,50876996.947642654
23,57343950.46312893
24,54907247.14667372
25,63800693.360970914
26,41731885.37704908
27,11147395.376129763
28,10146816.062149115
29,10582449.868729586
30,10990542.484870378
31,11884793.13497054
32,10887275.579973599
33,12209404.783645408
34,17805097.11676891
35,20391369.369328495
36,17392968.840848085
37,18586671.06088619
38,37229401.71313194
39,30817435.364154473
40,36217538.95812413
41,38988387.50417092
42,69689438.27137141
43,51846144.604924254
44,61666277.12965863
45,52270627.83016592
46,82924573.73859084
47,61109498.73230296
48,73759653.82716654
49,61398497.41738719
50,91218123.00949617
51,32199501.69125495
52,934547.5431145871
53,794534.5191266154
54,858382.2899215963
55,767491.7230511816
56,901605.8846616484
57,923749.4721018529
58,976420.1540341715
59,969571.4119195136
60,1088296.3395639828
61,1132265.529704457
62,1338911.5461495274
63,1793859.2435673224
64,2385694.905537637
65,3041629.8904917105
66,3617297.4584555244
67,5613990.238535364
68,7990784.2969564535
69,10793205.96277524
70,13845361.887655295
71,16839151.118870974
72,19915765.635785177
73,24092485.697836835
74,26372448.891286142
75,30147251.094546635
76,26918763.20356324
77,1042341.1016095406
78,1039752.3212722677
79,1179772.5339646703
80,1405858.5914294524
81,1439643.418316262
82,1445176.0507191892
83,1446209.2922136665
84,1625554.7036147874
85,1622043.369799212
86,1645050.0789277668
87,1645175.831162489
88,1630915.1391750958
89,1649678.1982157223
90,1649790.1652999953
91,1649759.180488776
92,1397260.2814635725
93,1400807.46970973
94,1401783.241368853
95,1407245.3586052493
96,1407864.094605652
97,1407998.7406691406
98,1408314.8735502125
99,1408327.2860838773
100,1419759.9734443186
101,38109717.4663325
102,79354.22121409436
103,82994.34981216477
104,85212.92553177013
105,93183.68030723822
106,121981.7490243735
107,174989.75208118148
108,180985.846420148
109,247578.45549866345
110,297381.40334018384
111,305164.48993960954
112,338558.8834437409
113,340796.70562113944
114,346112.0632027613
115,349534.45084987715
116,459606.9337395839
117,436622.415404226
118,471611.42392133246
119,523371.107507373
120,568788.9696775455
121,598882.563932354
122,529394.0481423137
123,605795.5385813628
124,627029.19785843
125,689829.0106905741
126,35228630.22242253
127,476565.22160485847
128,482049.5263520337
129,482826.23757680925
130,487962.66143391986
131,343497.1483935663
132,335719.6955822398
133,398835.01284254953
134,396222.4636879305
135,401177.35369581875
136,408439.09936819685
137,414238.4752553433
138,448573.70984625974
139,443159.0580204781
140,447779.1136281548
141,454133.8091079551
142,449014.3710724713
143,449322.2490333849
144,454835.63026039023
145,465386.8941236533
146,547252.8735967844
147,420461.50962138636
148,474483.66629071615
149,481173.914558841
150,488017.90316185215
151,27122715.056009796
152,66390.59337822492
153,90519.92480513624
154,92311.32234181625
155,102941.0206444593
156,108650.25839058384
157,119078.23336536094
158,133985.1977870594
159,140739.97542581035
160,143194.74970782708
161,159205.91499321343
162,160909.80992467608
163,163099.8283894747
164,172690.72846953192
165,171395.3901934959
166,178903.90906311845
167,182467.727180701
168,197240.56857934137
169,204247.5963945896
170,221091.5356390745
171,203308.38630398124
172,195957.71664046595
173,201719.8972567296
174,205558.46736947383
175,209697.97585817068
176,32315542.41658926
177,43502.11700327782
178,56116.333450371574
179,61996.72336791011
180,64304.65777050073
181,68741.92345124081
182,61813.9920547723
183,73466.75522044107
184,111211.26493711348
185,114524.81936734487
186,122961.1297237436
187,127059.94095077082
188,132711.77727983677
189,141480.88368961358
190,162718.82419888765
191,162260.66463590166
192,136826.39440603103
193,164131.98864889695
194,180362.0663440398
195,179777.1932751356
196,193905.15809085872
197,220644.73387319065
198,224922.83999317655
199,228992.14321080912
200,234409.48657695687
201,35190093.03778037
202,62868.82076393112
203,57562.3360415744
204,71024.34313606523
205,83413.42103511679
206,84075.659037414
207,84198.73435707389
208,97052.78401364441
209,111213.70457527411
210,128486.50051305165
211,143537.7087318717
212,128250.83135779317
213,128441.7392883573
214,123383.84223176847
215,132985.9861561256
216,137208.16268317634
217,146036.60443537272
218,190362.5964200359
219,221352.1323154748
220,237666.2294812412
221,248742.0010067029
222,229900.9042888319
223,250383.0620760995
224,253529.1318189677
225,351131.02117059
226,26446551.776607156
227,153112.23610654855
228,166017.7414438309
229,170215.13546654177
230,164758.72596689456
231,163815.6924297101
