Iteration,Average_Fitness
0,12601199.038588021
1,5241796.7708800025
2,3481411.5460783085
3,2633594.717250308
4,1863901.0981327328
5,1686883.7717522027
6,1562399.8785050842
7,1528626.483447764
8,1539211.5531721967
9,1569881.9688668528
10,1592585.283047202
11,1646079.4758675934
12,1217224.4054888077
13,1238426.0157353317
14,1284324.5089055586
15,1359102.3965508742
16,1377720.020069982
17,1387532.3812846309
18,1462652.965707042
19,1522606.204582682
20,1619025.4552682783
21,1579733.2452388885
22,1282607.7551762306
23,1288208.4165874375
24,1245200.9021072101
25,1389585.0656163227
26,1062711.071131119
27,355445.3652436507
28,347530.69816025626
29,355793.3252003003
30,367599.7345748392
31,379126.9151633986
32,428848.57748464297
33,531058.3362614706
34,653185.9286531198
35,699953.5485168127
36,761870.7955083998
37,763808.2647711711
38,814457.9083445837
39,844169.6268500191
40,885339.2070720939
41,933606.3329118482
42,816030.1443512819
43,976750.9997072482
44,1009748.1828760676
45,1248473.1569735662
46,1312730.7496020822
47,1670213.6590522714
48,1744684.8610355372
49,2183325.812007087
50,2284979.5975372302
51,1469083.7811694117
52,754421.9888227417
53,965469.1034264866
54,1153605.3112272506
55,1424031.655457952
56,1684035.231443461
57,1940701.332723265
58,1990017.1562029156
59,2139786.9489761256
60,2246093.980336077
61,2519555.4873753404
62,2496974.394414889
63,2640972.6172486567
64,2576079.009318932
65,2773618.3721315926
66,2731167.3553980766
67,2852217.2757388577
68,2869980.3881139136
69,2932473.732796855
70,2927569.0898130354
71,2946765.801034983
72,2667089.583647957
73,2661567.80595916
74,2694309.885069909
75,2720185.7312724977
76,905274.509846989
77,100687.09709353029
78,115601.61910905667
79,104077.10663535027
80,123061.11044930825
81,148297.55902386212
82,153436.97427913183
83,162573.77600189447
84,183017.1794868802
85,214078.24827805112
86,277601.24091406655
87,365252.18233159743
88,445565.67284004745
89,515922.6564412685
90,557562.0960483607
91,612667.7935634335
92,408095.6107962684
93,467510.3534992901
94,536352.6938081189
95,652897.0464999205
96,778528.7164153715
97,878746.195725723
98,887524.5586068642
99,984558.8879520476
100,1020703.76985515
101,665910.881584217
102,32394.394930796625
103,31486.47294126325
104,36693.29676143725
105,37291.55285341323
106,38712.77130911854
107,40790.79433563288
108,43161.230552759334
109,48768.485888090145
110,58412.232448285125
111,67621.12350490215
112,86617.58117119811
113,115496.3834224016
114,136427.82333511833
115,163990.89842516874
116,195939.32071528805
117,240368.29714147875
118,285520.4210016079
119,332860.4167574073
120,385652.2419811187
121,442836.51565513003
122,360211.45815233537
123,402826.5456452114
124,452944.5895780005
125,504983.0711492044
126,648754.919908807
127,81586.41523834887
128,82722.79225868089
129,83188.600962302
130,84271.19179726347
131,87690.60425563753
132,89404.19463503543
133,90741.76239133671
134,92469.21446496664
135,89988.75803288982
136,91728.17871110531
137,94521.45179982725
138,96098.87678173212
139,99789.3427321705
140,106967.39002109772
141,112220.31410877898
142,110343.96216277692
143,112475.03295134216
144,113881.09771590744
145,115470.51310986614
146,118545.61266949713
147,119889.23460852147
148,120626.92288626003
149,121802.8690537042
150,122380.96643027614
151,658411.5415097907
152,7228.094176776878
153,7941.662051745427
154,8262.259929480599
155,8472.991097224782
156,8789.561612760917
157,9438.920800996944
158,9996.66655497327
159,10890.159720084355
160,11115.421806198918
161,11766.452909565016
162,11700.339058284733
163,11874.580353571193
164,12360.949683087136
165,13682.81125773405
166,13933.930130670227
167,13928.052144416086
168,14216.52199418166
169,14681.59330296282
170,15593.153009844136
171,16394.648188688636
172,17012.613695646512
173,16916.011584883843
174,20308.7164319586
175,20459.335955791303
176,631435.9191030434
177,8333.405284794999
178,8560.560256304116
179,8887.772114196256
180,9430.432399814426
181,10068.467298228585
182,10818.248111825087
183,10398.98385833625
184,10232.966827977172
185,11112.295586397486
186,11651.383270586042
187,11912.989980073886
188,12738.76787263434
189,13626.43680706627
190,14458.921511304157
191,14793.836464585213
192,15029.162324508801
193,15495.850813742907
194,16038.196749226692
195,18540.954392080523
196,19901.357438577626
197,20379.48329318429
198,21758.21806018737
199,21874.13732555924
200,22375.179133098834
201,682730.272335336
202,3985.815848732263
203,4275.346437048316
204,4946.659774288243
205,5211.2834773295735
206,5480.425121051306
207,5770.050886228342
208,6496.838504659023
209,6811.90765700601
210,8348.553041469262
211,9091.370007733698
212,8961.058489316001
213,9275.512035633303
214,9384.92238472011
215,9969.281465939479
216,10589.81052826254
217,12400.971979542492
218,12443.725304036838
219,13744.078530420187
220,13965.205295598305
221,14190.577153363389
222,13438.004327110586
223,13772.87592988828
224,14664.721410300652
225,15747.132106383968
226,652747.7013426151
227,4996.375506062622
228,5110.481477908016
229,5126.982217210575
230,5121.292088555247
231,5322.679591961667
232,5370.178983242391
233,5762.855225832759
234,6311.138065268901
235,6602.336191922074
236,7628.79284413176
237,8610.631150993093
238,8793.142650778716
239,10147.817276587599
240,11550.050879499488
241,11337.228102464687
242,11610.970269471583
243,11881.027264448576
244,12761.499759031227
245,13967.989131863525
246,15231.323756326312
247,16490.495297437225
248,17225.96294748181
249,18520.57465600299
250,20098.7355209231
251,604890.0271657072
252,3744.529732401306
253,4564.169468443446
254,5253.448394878803
255,5633.656243274473
256,6612.584137259797
257,7111.819799707579
258,8609.460550738244
259,9055.960028407208
260,10151.488287411497
261,10654.848499781307
262,11103.637142197796
263,12068.997954453382
264,12755.324919328863
265,14078.962125284175
266,14811.061028117723
267,16322.304616128586
268,18373.57256878844
269,20666.153791522476
270,21911.82290303447
271,23012.546425120196
272,23569.995348208657
273,24704.44892577986
274,26189.146077424237
275,28438.822805916872
276,531994.879063922
277,4312.47170989885
278,4982.727007710096
279,5508.347218076864
280,5911.353922610465
281,6095.914232098691
282,6387.021488361284
283,7308.325268271663
284,8932.538415829871
285,9710.961352898918
286,11321.012736032397
287,12252.04472868126
288,13434.343543712133
289,14663.45249213772
290,15978.570991081893
291,17605.27330114788
292,17736.843028297088
293,19521.023935478283
294,20020.3274764412
295,23309.57278856232
296,26620.286206917302
297,27574.652525194895
298,29380.566065652885
299,30990.204691974348
300,32872.0044448317
301,600148.4022174054
302,6301.841171685667
303,7008.371114523442
304,7632.256736565375
305,8003.567849379755
306,8176.281315530653
307,8779.104288235423
308,9401.503013770101
309,10168.138997587728
310,11920.701778405837
311,13851.224223896432
312,14431.032248473683
313,16414.10339088828
314,17124.93992813928
315,18238.5722367207
316,21278.442076522504
317,22431.98851354228
318,24745.287578933778
319,26756.354257077313
320,29102.792754333914
321,29384.923320730715
322,29692.124906697827
323,31660.039213398162
324,32612.379948974532
325,31921.719924711535
326,625037.9888185582
327,7362.1569493625
328,8583.120625306881
329,9307.294614092814
330,10171.205376456115
331,8619.068822375575
332,8342.035934113415
333,8650.098139090547
334,8886.661985067462
335,10300.343087371539
336,11283.167613949865
337,13257.589924625865
338,14284.073921020869
339,14397.555095733103
340,15232.69121165432
341,14615.656330437927
342,15742.418075824691
343,16453.10635678603
344,17874.154799918415
345,18255.102044713676
346,18962.737501713473
347,20275.490917103645
348,20649.282016147907
349,21316.797969524967
350,23530.741318422686
351,613756.3059925985
352,2548.5859716430887
353,2824.0829215241915
354,3017.6142118644707
355,3351.4198441411468
356,3874.1345890229127
357,4383.230023347753
358,4728.7826029934595
359,5185.624899608485
360,5819.301294191848
361,6563.3277393948165
362,6924.934458237424
363,7113.285424613434
364,7594.928422223977
365,7860.957290886904
366,8789.475079298138
367,9055.965921209163
368,9201.580192211164
369,10278.238975517163
370,11015.50912796747
371,11392.23963437075
372,11359.25636133222
373,12360.310538726788
374,13338.546056752384
375,14536.038845104056
376,596134.3147968479
377,1895.4913653304668
378,2469.902032457424
379,2609.6874649227816
380,2621.1535369722287
381,2690.6708868364462
382,2893.8813374252395
383,3349.3983306418663
384,3829.274288851758
385,4852.4706325949
386,5384.355221691732
387,5876.177596018713
388,6997.613187730745
389,7230.217672387964
390,7878.767069981921
391,8968.16873750331
392,8713.200194424257
393,10856.707559324797
394,11093.991254352204
395,11581.998200610102
396,12117.004988453336
397,12703.43663238969
398,13356.24089353273
399,14255.627738331905
400,16329.204201994336
401,519270.0003171919
402,1373.337286179044
403,1520.8657981676372
404,1679.7511996140513
405,1865.3791178572355
406,2674.4600408410383
407,3213.8488872736552
408,3385.322563822725
409,3871.0506966426906
410,4481.553011669415
411,5055.8493499840315
412,5174.593405797682
413,5730.651918489011
414,6633.049575243183
415,7838.398024779297
416,8176.272838788559
417,9085.179653568981
418,9760.99214327208
419,11247.062025068026
420,11900.201153371869
421,12142.796955456892
422,12255.687587301567
423,12446.438461040741
424,13757.008662672015
425,15573.166985310685
426,526877.0160256993
427,950.4657193125516
428,1259.608361350786
429,1458.3128787964101
430,1740.531240293143
431,1814.1366374378729
432,1853.1658699331758
433,2175.6118597046543
434,2498.2014321621787
435,3053.1500091805533
436,3436.520378696792
437,3992.1243811904615
438,4275.014782068188
439,5052.351807247476
440,5450.741997534389
441,5835.557896781789
442,5378.4149634647
443,5730.04838707068
444,6437.883169244098
445,6882.7192171229435
446,7989.35184404027
447,8467.327476650622
448,9965.657012275675
449,12049.967522293475
450,13695.779505396977
451,627637.3213981543
452,802.9374289650946
453,923.0039633204159
454,1083.7139120559245
455,1379.527992806068
456,1772.325935948689
457,1846.9401309134528
458,2313.717294367818
459,2791.717762814355
460,3214.7080475489424
461,3581.3960864685505
462,3613.9973325396204
463,4327.32693776686
464,5292.804064797161
465,5652.485556920619
466,6088.108544352579
467,6606.683155732229
468,7469.838959989464
469,8065.095912730308
470,9011.849221203967
471,8565.095959038907
472,8239.692618350677
473,9388.789479559719
