Iteration,Average_Fitness
0,555.4465191865571
1,432.47048037708197
2,415.06674971136374
3,402.3288816742665
4,387.66623106058665
5,374.48081222729274
6,359.622846127934
7,349.60568637576
8,336.78277783095984
9,325.3367680302592
10,313.18156233273004
11,293.818056044583
12,269.3346183075699
13,261.2796283300029
14,248.6748375755936
15,239.38161874392236
16,237.8822461261349
17,239.4343323810457
18,234.01761089261817
19,228.3914452104704
20,222.832069363946
21,223.03822057998985
22,219.86461068867357
23,217.4623940450358
24,212.49244671458922
25,208.58598526596518
26,212.36755023521448
27,219.22167802374673
28,208.39941480427117
29,202.38381121335146
30,192.9860117656286
31,207.56669121418386
32,202.25049480221182
33,191.21578111768073
34,181.73457956667315
35,183.27389909682938
36,181.36944672606884
37,177.19716305392177
38,173.19210501369542
39,168.5733957400499
40,169.4737146253512
41,172.9959377663629
42,171.2458997557777
43,164.90330053927133
44,162.3878584576542
45,159.97676749074094
46,162.1079702859796
47,167.446149830625
48,166.3452114135151
49,167.99526676058318
50,169.39326571796778
51,186.20383291720074
52,179.97216776322134
53,173.21085373297498
54,167.13698009914236
55,167.63488018997387
56,167.2021608201849
57,165.1681174972977
58,166.19799730653813
59,168.7605149427819
60,168.72519599656118
61,182.2809357529456
62,174.58605173853095
63,171.9313587549608
64,167.89456509399884
65,165.83313790489635
66,165.6504141930965
67,163.3897176818438
68,164.62847669931827
69,165.71032198203054
70,170.74244349319378
71,175.4286615237446
72,173.89900666586976
73,174.24547145835785
74,174.81426036644442
75,174.47381058870425
76,179.46586141613128
77,172.81511796682
78,171.68348852825773
79,170.48455432545651
80,172.1783598761852
81,176.9325390437696
82,180.95660977309217
83,181.79712510202393
84,182.28150344449904
85,185.5048625199761
86,182.68042741988302
87,181.1849462787017
88,180.42666644022023
89,184.21571169804045
90,185.69926394664853
91,190.872785599522
92,186.48991180337234
93,186.61207908880058
94,189.1651031370578
95,191.95172527042888
96,191.79793061230077
97,193.60882257298272
98,197.20044439785497
99,195.24986004220798
100,196.34974396677063
101,213.49499283003826
102,207.87992265793378
103,204.14179320149222
104,197.25037514117477
105,195.51945264559987
106,190.92660913885322
107,187.73338361181126
108,188.68143129695832
109,188.73129384127515
110,187.70504531540493
111,195.40267221547205
112,193.4216180219707
113,188.64580257159207
114,190.9167592657497
115,186.95213504107622
116,188.0300859409417
117,187.81301869193663
118,188.87674830675863
119,187.18144868759575
120,185.89853153701785
121,197.34873626020254
122,196.21875709288167
123,193.9168707750713
124,192.07460452224754
125,187.93263191581545
126,213.01551091461715
127,200.35460361496467
128,198.32146153541214
129,195.54242366042996
130,195.0405642235919
131,202.03271190532794
132,197.50980159860137
133,194.7966914175192
134,193.98658982425138
135,193.7742524567516
136,192.98558775182303
137,191.97365593094742
138,191.4043104907407
139,190.2253504007345
140,191.30806094477975
141,200.74186116797293
142,197.3402293720422
143,197.57094604716846
144,195.28585232304846
145,195.9764930874718
146,195.1269213378305
147,194.32450767821274
148,194.26725977559056
149,193.27147101578154
150,192.55969721995083
151,234.08093441297606
152,225.5338685519091
153,216.32670111249018
154,213.99163936844207
155,213.86636061820764
156,212.09243642693872
157,211.18231277398328
158,211.15493795044478
159,209.50422250892572
160,210.43605427012756
161,212.39501120358773
162,213.7397417475064
163,212.2779621049382
164,212.05414986450683
165,211.3560356185314
166,211.55837973916954
167,210.73491553661609
168,210.69040528539958
169,209.3335158478072
170,208.7090460189328
171,212.98621005280933
172,209.58624294217236
173,206.8073228530265
174,206.8438499296795
175,203.28593627245652
176,225.89677940162412
177,210.6346127927131
178,204.1438774540103
179,203.5405068750876
180,203.39036010121228
181,208.9521478398614
182,202.77333621347006
183,200.1711036238644
184,198.7338825866069
185,197.41576633908292
186,197.43128095513438
187,196.7094255885914
188,196.1948193351751
189,195.42518177464225
190,195.0214033128342
191,200.46888201704311
192,197.3933482682817
193,197.90842492400515
194,196.17776230190822
195,195.74564102090324
196,193.54018168992152
197,193.14080793408988
198,194.37425557207362
199,194.28429160421027
200,193.18928398303984
201,228.27164101169183
202,208.14199644777852
203,204.23051040674832
204,201.02559557755285
205,199.98046791180235
206,198.5757628433296
207,198.56636144036938
208,198.8198292727877
209,197.10260225161963
210,196.79122834175067
211,202.90613619826925
