Iteration,Average_Fitness
0,473313138.60876894
1,223067163.55388942
2,172823010.34046787
3,116608531.90806158
4,94572498.68455562
5,79274393.33303422
6,72612587.81161778
7,69892158.76075909
8,69223656.2514457
9,68800200.62546405
10,69707347.7986883
11,70537097.85360214
12,71234135.92546389
13,71786303.07118443
14,74045277.42789544
15,74889305.48968072
16,77202976.39451556
17,78626032.08717126
18,81657968.50257167
19,82520199.51701164
20,85757643.55734904
21,88192137.229165
22,87659656.59160857
23,92670804.03885287
24,95666814.42689127
25,98899252.58422954
26,62732466.01881488
27,37339627.637361534
28,40740373.02925
29,44036181.5635523
30,48562759.51507078
31,53648977.91190843
32,46945884.05724973
33,51914198.70433777
34,53967522.20422925
35,56616947.338448636
36,56283677.43696298
37,58926400.70083663
38,58460377.15568991
39,59309671.30370626
40,59883211.317885794
41,60513646.517445095
42,59857306.38746064
43,61729558.54317998
44,64687217.59256723
45,70385262.19424811
46,76200595.13823718
47,81416518.01764455
48,87658867.07285391
49,91970395.53538951
50,102001285.44959104
51,67758009.72336183
52,29890329.825490635
53,28771702.112191252
54,28957951.548367113
55,31210880.181151334
56,34057965.51739975
57,37690191.22625101
58,40635279.322111905
59,46695207.833575994
60,53584567.67111537
61,59724167.66325765
62,57087091.224954866
63,62819283.1976
64,69087373.61903891
65,76757480.13369426
66,83089652.46944684
67,87264367.40040246
68,92208803.33841965
69,94434366.25211287
70,98152043.71002816
71,97580736.31816019
72,100153081.20125075
73,104682145.50743778
74,106928727.53725334
75,106738394.94226243
76,59756387.67473657
77,31285849.544415895
78,30973034.585926373
79,30898499.33005707
80,30689769.847466
81,30841789.561308283
82,25544998.01229907
83,25633199.009598807
84,25868327.357037432
85,26196903.54796607
86,26788917.38589576
87,27516251.99231527
88,28579794.328338396
89,30724182.308854375
90,33223634.177757595
91,35629069.855444185
92,35317221.307607196
93,37353856.77880262
94,39434274.391046055
95,42133812.93303287
96,44766360.16465216
97,47968240.81210569
98,50383393.81728815
99,53009700.018772714
100,56837800.80826708
101,42980699.45871493
102,18802189.616681702
103,18831969.747242365
104,18996267.176657543
105,19027676.31603267
106,19020000.020339873
107,19158801.37937192
108,19730598.89421011
109,20094331.809654016
110,21135027.80162393
111,21779134.42189192
112,23071892.192844175
113,23892596.038483154
114,26006827.634604473
115,27125535.987417914
116,29205415.844308853
117,30899706.60663782
118,32898136.03651378
119,34155854.61604736
120,35908142.41603753
121,37706399.28812211
122,40207370.83877314
123,42264679.93676665
124,45230957.80372359
125,47023135.95112059
126,26190613.305312946
127,5274927.640620629
128,5490609.58877535
129,5507891.70782787
130,5662150.31267385
131,5612833.934922882
132,5603426.233547697
133,5825136.181501792
134,6004729.271480458
135,6154914.781638143
136,6276743.091308866
137,6415987.705765431
138,6592451.092351586
139,6252944.2200469375
140,6528441.221206354
141,6791310.703525556
142,6781044.297414685
143,7079644.722066477
144,7168643.540235815
145,7154705.642112791
146,7319801.387360984
147,7522467.271339326
148,7598061.793484285
149,7648136.535127372
150,7743918.376361969
151,24829480.744797975
152,1821388.3450195661
153,1862133.2401321817
154,2068476.7929593793
155,2157301.018723164
156,2244593.3866476887
157,2166144.3851085603
158,2176980.2220215206
159,2210153.347957511
160,2271935.2810748634
161,2291215.84457115
162,2393070.261591737
163,2534386.920825176
164,2628946.612955121
165,2703848.565124291
166,2755412.7757587265
167,2811958.7250955924
168,2834718.1093603033
169,2854030.2798610996
170,2940673.805852688
171,2993549.8086487167
172,3023826.528025407
173,3108423.2362297974
174,3155042.5933741126
175,3207784.0817438187
176,23341936.071531545
177,731479.7726913949
178,743630.7067097889
179,776690.1515575842
180,848748.6341288147
181,958860.7406071686
182,957865.6284934096
183,987087.7441265614
184,1067620.3389290466
185,1104901.4349620135
186,1156937.5079649151
187,1206434.9343249854
188,1321101.9663496523
189,1354534.1789734818
190,1404507.125868667
191,1422524.6199348236
192,1384552.5471008765
193,1488993.8124599478
194,1553374.778268858
195,1611106.7604895986
196,1660088.8749241403
197,1757292.1671609462
198,1851524.022318406
199,1922164.387305032
200,2035878.1142116173
201,24341473.268716805
202,622916.4507432968
203,649176.0700687038
204,697155.4938662086
205,722674.1808576188
206,733156.1806162337
207,765224.0318947987
208,795646.4782312234
209,833064.3597996394
210,877608.4133239109
211,910274.5100533519
212,913608.5842546157
213,945355.4700986024
214,1008700.9040223608
215,1040519.2615021827
216,1103804.970867021
217,1145542.1426450522
218,1249106.3813792064
219,1353428.4279656927
220,1382105.785432808
221,1459932.5128314404
222,1466358.067023474
223,1515013.1699378998
224,1573718.230130241
225,1712497.8996217349
226,23722318.695738617
227,505406.308056883
228,530600.9621639594
229,575364.4241043746
230,641957.0462086762
231,703010.1939068866
232,712427.0431700088
233,742630.9861714721
234,773973.0319542662
235,840232.9605853237
236,871076.7488399764
237,918047.8291763812
238,938624.3168263463
239,1001194.1001891249
240,1052567.349331434
241,1104183.4065939186
242,1128670.6866548494
243,1216874.2830896764
244,1293737.624220693
245,1366996.3749819337
246,1392846.935489182
247,1466442.4696172988
248,1553202.8858165275
249,1637137.4762016868
250,1715820.5245533567
251,23254039.351569735
252,463302.9135020553
253,542970.8649855668
254,596893.2821690392
255,629657.5968085455
256,697484.4701307816
257,744345.0449038984
258,830481.1496272981
259,893917.3236433646
260,969091.7670573359
261,1058863.2824662891
262,1110229.1084353907
263,1179532.9597511897
264,1294262.322814105
265,1400125.6753214684
266,1495671.4201188977
267,1625528.309373511
268,1760213.0073705371
269,1856016.6569636718
270,2038008.0434414155
271,2195567.14592498
272,2305319.811466816
273,2447608.556430269
274,2538307.0709311557
275,2570562.600165129
276,19864311.384640142
277,1082945.2568031573
278,1072378.2419374143
279,1149565.1823362068
280,1247809.983281279
281,1302789.182454657
282,1377317.1999828971
283,1476227.8211543714
284,1629174.9335506912
285,1746076.1239833608
286,1823777.834476778
287,1890067.5544084453
288,2020170.9476400367
289,2158150.3275084808
290,2279367.9313704865
291,2364429.671617398
292,2418195.3568704342
293,2499907.797967422
294,2611972.5233586654
295,2754586.98969626
296,2958737.7650595466
297,2996517.161390948
298,3143434.048579052
299,3230441.9216384576
300,3377635.8460710673
301,22505768.141198203
302,753166.8380179357
303,793219.5975297976
304,899668.4729128544
305,944087.1489796992
306,1059906.9619730718
307,1120225.8732548042
308,1212700.0529769645
309,1302304.1330695043
310,1419956.0643149603
311,1451935.9808439252
312,1518776.2568054497
313,1699894.6753585523
314,1746046.4093178438
315,1874938.5078012482
316,1978440.618214736
317,1974120.2027539734
318,2064747.5515797858
319,2170600.0577886812
320,2385406.129651106
321,2404816.7823338793
322,2329583.025553236
323,2476310.3276908537
324,2583304.3649638924
325,2683063.295350209
326,25074024.214781802
327,856480.2798805253
328,923343.6885032016
