Iteration,Best_Fitness
0,-2.530921420432089
1,-2.783708491116298
2,-3.2087618811695333
3,-3.1184155456346447
4,-3.205424757224394
5,-3.2760615950754257
6,-3.276451495506807
7,-3.291748975204905
8,-3.282602807837691
9,-3.3106546073907612
10,-3.3168974449488666
11,-3.3181050005552795
12,-3.3200056432347997
13,-3.319551798640206
14,-3.3220500402857196
15,-3.321635838167538
16,-3.322232800474521
17,-3.3222422929146216
18,-3.3222548332223973
19,-3.32217265444329
20,-3.3222886031248557
21,-3.322286355426417
22,-3.3222810759509938
23,-3.3222333250849547
24,-3.3222795917801213
25,-3.32218686477139
26,-3.3222505493354575
27,-3.3222431822978082
28,-3.3221182558692828
29,-3.321965110433439
30,-3.3222027848498974
31,-3.3223081889099957
32,-3.322275308739543
33,-3.322221583172099
34,-3.322068781536815
35,-3.3222342422443862
36,-3.322244072289908
37,-3.322295902503107
38,-3.3223355472300944
39,-3.322328965327536
40,-3.3223471025520164
41,-3.3223428815135847
42,-3.322360600789495
43,-3.3223363376415422
44,-3.3221790585048026
45,-3.322281599397991
46,-3.322196809975432
47,-3.3223195847899314
48,-3.3222906864190596
49,-3.322281414544876
50,-3.3223280388447436
51,-3.3223627284742054
52,-3.322313486531246
53,-3.3220057783416195
54,-3.3219391437970165
55,-3.322277533504162
56,-3.3218604498676885
57,-3.322047172247114
58,-3.3222458413286153
59,-3.3223031528301363
60,-3.3222842791287293
61,-3.3222924973393533
62,-3.3221246320600155
63,-3.3220675270215225
64,-3.32206524664554
65,-3.322262309021395
66,-3.3221181386869425
67,-3.32229553243533
68,-3.3223276951093066
69,-3.322348848133009
70,-3.3223259283227895
71,-3.322341852691396
72,-3.322314263246456
73,-3.322284082621124
74,-3.32233481694576
75,-3.3223281546378183
76,-3.322316541112103
77,-3.322277635672
78,-3.322240776786562
79,-3.322204682235174
80,-3.3222715930543933
81,-3.3223552868531616
82,-3.3223552868531616
83,-3.3221968775100414
84,-3.3220754616843
85,-3.3220774157709756
86,-3.3219879870052242
87,-3.3219879870052242
88,-3.3221465056856454
89,-3.3221820458007243
90,-3.3223172737706936
91,-3.3222401964693167
92,-3.32173679271274
