Iteration,Average_Fitness
0,-0.22179935811409943
1,-0.42018966216570425
2,-0.5326866356030765
3,-0.7869607920961724
4,-1.1332227499029848
5,-1.4798832040103158
6,-2.0004721902316307
7,-2.443229747448705
8,-3.1783209863397133
9,-3.749014237652108
10,-4.055787843665663
11,-4.331566671499586
12,-4.5547069693118125
13,-4.6505310987100055
14,-4.838204885591819
15,-4.953202532016362
16,-4.941488431032482
17,-5.1373632152662525
18,-5.115038754681786
19,-5.1385202652927635
20,-5.176961950631021
21,-5.208595506836165
22,-5.15865783778601
23,-5.313474753246683
24,-5.504718220822645
25,-5.516197643637726
26,-5.292418983505808
27,-4.465898174599815
28,-4.604036055183116
29,-4.8460041913809135
30,-4.940413102542413
31,-4.879922326189534
32,-4.691398929897238
33,-4.8288411855348246
34,-4.704148227993804
35,-4.795365713813511
36,-4.956413566473522
37,-5.021473905426911
38,-5.05762319365053
39,-4.9927000991828585
40,-5.046255227776277
41,-4.888301823445553
42,-5.054049614268923
43,-5.009881476322916
44,-4.9504319624165305
45,-5.159550847686158
46,-5.095596367700122
47,-5.352325474941853
48,-5.3011697200326475
49,-5.427483692146816
50,-5.410758093398687
51,-5.166283868516166
52,-5.131461981047478
53,-5.611102350045685
54,-5.936762700333478
55,-5.916349085466653
56,-6.089998075772359
57,-6.146638824957997
58,-6.122137317432034
59,-6.12441743762055
60,-6.198898324346474
61,-6.0285417311836325
62,-6.14311708837996
63,-6.2088898344667856
64,-6.426217329537467
65,-6.433756854614353
66,-6.600049100038867
67,-6.666350411379199
68,-6.626847836458255
69,-6.624073694588381
70,-6.552014040337877
71,-6.268634282070624
72,-6.314044318110941
73,-6.394079166533056
74,-6.460205025455539
75,-6.522226654087263
76,-6.3230875191385385
77,-6.28154594988196
78,-6.282096710471672
79,-6.449889403184366
80,-6.506288679810064
81,-6.550985808837896
82,-6.491446365964953
83,-6.65690154092706
84,-6.681338931521812
85,-6.806351807509206
86,-6.8465027687868165
87,-6.804999313565804
88,-6.8480454648472895
89,-6.822115972099163
90,-6.706929947742239
91,-6.506272906603608
92,-6.597865849505803
93,-6.557999971478289
94,-6.590726723581815
95,-6.4492398063411
96,-6.631432021389957
97,-6.702765801187429
98,-6.6338511042314465
99,-6.663052861925146
100,-6.730959841593328
101,-6.231621356147486
102,-6.097076959437832
103,-6.285010616637167
104,-6.337648879781903
105,-6.465771766039032
106,-6.534448548058151
107,-6.579523701624955
108,-6.626982230263906
109,-6.571723078677011
110,-6.518559724732296
111,-6.223728314466563
112,-6.456774618778005
113,-6.42263730199668
114,-6.4816543467192105
115,-6.426960102825105
116,-6.309426560600816
117,-6.416402827338823
118,-6.300528057319864
119,-6.263506723245926
120,-6.275899306746803
121,-6.010171199923492
122,-6.2053768061944
123,-6.1473384493648515
124,-6.240303477343735
125,-6.2891367709538875
126,-6.127657172429443
127,-6.195378459067842
128,-6.303335841796578
129,-6.404928441887328
130,-6.364972122609412
131,-6.133299601417339
132,-6.1141116552295385
133,-6.1100024923509135
134,-6.057403516631857
135,-6.084619598342083
136,-6.004452136882072
137,-6.04117452675342
138,-6.083445179094784
139,-6.050796216689695
140,-6.145734280595472
141,-5.901471178247388
142,-5.857457352614584
143,-5.935721193765778
144,-5.997459105085595
145,-5.995360521998487
146,-6.07073311578665
147,-5.994299920812502
148,-6.024433006775563
149,-5.98027661878609
150,-5.972371572560079
151,-5.6112920998223865
152,-5.633499679587999
153,-5.415256531734838
154,-5.409727550794087
155,-5.480634443173536
156,-5.529192805018007
157,-5.504141564714035
158,-5.473358177322421
159,-5.511603033908301
160,-5.5334820990470375
161,-5.300180839894549
162,-5.341082055562826
163,-5.4249907512419995
164,-5.417115959712073
165,-5.457125399011921
166,-5.441190966320996
167,-5.4654538685852385
168,-5.454480635925695
169,-5.470623853669793
170,-5.467114445838759
171,-5.353957505307147
172,-5.384162307190627
173,-5.360614306943032
174,-5.397936159711989
175,-5.416936611145945
176,-4.949764952224782
177,-5.1926843147215775
178,-5.281804177207422
179,-5.263116559817843
180,-5.235696139025673
