Iteration,Average_Fitness
0,101270.78666666667
1,54321.95333333333
2,48325.67333333333
3,37090.25
4,30056.786666666667
5,24619.233333333334
6,20352.8
7,18468.33
8,17166.553333333333
9,16257.293333333333
10,15856.176666666666
11,15830.926666666666
12,13787.993333333334
13,13738.81
14,13694.283333333333
15,13680.556666666667
16,13657.776666666667
17,13892.226666666667
18,14103.126666666667
19,14402.42
20,14732.976666666667
21,14893.83
22,13935.65
23,14177.293333333333
24,14223.47
25,14272.986666666666
26,11183.16
27,5680.4
28,4816.016666666666
29,4736.276666666667
30,4205.336666666667
31,4012.6466666666665
32,3696.923333333333
33,3682.15
34,3645.963333333333
35,3624.6
36,3640.2266666666665
37,3809.8033333333333
38,3908.096666666667
39,4197.126666666667
40,4508.676666666666
41,4991.48
42,5306.443333333334
43,5989.66
44,6748.326666666667
45,7620.753333333333
46,8436.493333333334
47,9059.123333333333
48,9585.396666666667
49,10293.926666666666
50,10827.423333333334
51,8600.85
52,3078.6
53,3068.6633333333334
54,3068.963333333333
55,3149.3733333333334
56,3240.66
57,3431.48
58,3619.28
59,3974.02
60,4299.8133333333335
61,4805.17
62,4924.626666666667
63,5507.09
64,6005.373333333333
65,6787.63
66,7429.8533333333335
67,8535.16
68,9341.563333333334
69,10610.143333333333
70,11516.21
71,12916.52
72,14021.196666666667
73,14137.866666666667
74,14425.89
75,15124.153333333334
76,10573.836666666666
77,5557.25
78,5581.473333333333
79,5786.0633333333335
80,6045.463333333333
81,6292.363333333334
82,6514.653333333334
83,6589.6
84,7059.066666666667
85,7006.223333333333
86,7424.996666666667
87,7348.2733333333335
88,7882.793333333333
89,7697.723333333333
90,8251.546666666667
91,8075.863333333334
92,8691.37
93,8600.076666666666
94,9291.94
95,9260.606666666667
96,10119.09
97,10026.84
98,10614.573333333334
99,10544.146666666667
100,11368.356666666667
101,9721.76
102,4205.126666666667
103,4381.576666666667
104,4417.016666666666
105,4642.033333333334
106,4638.516666666666
107,4870.443333333334
108,4893.716666666666
109,5182.9766666666665
110,5236.91
111,5552.706666666667
112,5576.776666666667
113,5884.913333333333
114,5961.573333333334
115,6331.57
116,6394.143333333333
117,6730.09
118,6808.643333333333
119,7195.233333333334
120,7265.34
121,7613.916666666667
122,6965.37
123,7245.613333333334
124,7314.246666666667
125,7592.663333333333
126,8704.043333333333
127,3859.346666666667
128,3920.5233333333335
129,4016.86
130,4104.69
131,4142.72
132,4158.926666666666
133,4214.6033333333335
134,4273.253333333333
135,4354.116666666667
136,4467.816666666667
137,4510.246666666667
138,4608.983333333334
139,4653.78
140,4712.416666666667
141,4797.796666666667
142,4695.516666666666
143,4719.86
144,4756.37
145,4779.54
146,4825.44
147,4789.663333333333
148,4843.67
149,4839.693333333334
150,4948.083333333333
151,7750.066666666667
152,2856.423333333333
153,2898.1666666666665
154,2975.826666666667
155,3020.8166666666666
156,3079.516666666667
157,3145.4933333333333
158,3195.6433333333334
159,3231.0
160,3273.56
161,3313.7033333333334
162,3241.9266666666667
163,3285.5
164,3351.3933333333334
165,3399.1766666666667
166,3446.98
167,3513.4666666666667
168,3563.9933333333333
169,3627.5533333333333
170,3693.97
171,3749.52
172,3783.0033333333336
173,3872.82
174,3955.6866666666665
175,4030.9066666666668
176,7175.1
177,2194.17
178,2236.9133333333334
179,2298.96
180,2391.92
181,2432.193333333333
182,2353.79
183,2437.8366666666666
184,2505.69
185,2590.713333333333
186,2657.7633333333333
187,2739.6066666666666
188,2776.1966666666667
189,2830.0133333333333
190,2896.3866666666668
191,2934.0466666666666
192,2860.38
193,2869.74
194,2960.67
195,3007.423333333333
196,3070.24
197,3128.6366666666668
198,3158.7166666666667
199,3231.7733333333335
200,3277.153333333333
201,6085.35
202,1704.3433333333332
203,1730.5066666666667
204,1787.0833333333333
205,1865.99
206,1927.8833333333334
207,1985.7733333333333
208,2066.48
209,2188.6833333333334
210,2228.8333333333335
211,2275.65
212,2290.1666666666665
213,2407.7633333333333
214,2484.4933333333333
215,2529.4166666666665
216,2611.0733333333333
217,2700.8433333333332
218,2758.6466666666665
219,2843.38
220,2944.81
221,2993.81
222,3015.18
223,3124.9966666666664
224,3188.25
225,3252.7733333333335
226,7102.02
227,2274.4
228,2332.5
229,2404.91
230,2471.9333333333334
231,2554.9733333333334
232,2651.09
233,2734.173333333333
234,2845.6966666666667
235,2921.12
236,3015.7366666666667
237,3129.9166666666665
238,3262.83
239,3374.2233333333334
240,3481.22
241,3550.4866666666667
242,3621.4566666666665
243,3712.59
244,3785.733333333333
245,3881.0433333333335
246,3974.5133333333333
247,4054.47
