Function,Best Fitness,Worst Fitness,Mean Fitness,Std Dev,Robustness,Diversity,Conv. Speed,SR
Sphere,0.0009486719609110975,0.002902987359826292,0.001894166270434465,0.0005117638841996336,2.6190227317109597e-07,4.949561251866458,3459,0.0
Schwefel_2_22,0.1043523789679578,1.6433530850297775,0.7858472007459364,0.4758255538376515,0.2264099576849078,0.5076379229776994,130,0.0
Schwefel_1_2,0.2242845761258194,1.7035177454972843,0.7187347909878722,0.37488886629950996,0.14054166207533186,5.024860221543571,3173,0.0
Schwefel_2_21,0.5021142742125243,2.6065128599315623,1.3900473761665704,0.6006285564048376,0.3607546627689592,4.988572340006927,2481,0.0
Rosenbrock,22.588825085879048,142.64399695374078,45.44663488740321,37.114400575989094,1377.4787301149797,1.491625964134151,3500,0.0
Step,0.0,23.0,7.3,5.413871073455666,29.310000000000002,4.956149734983647,1881,0.05
Quartic,0.0004333551523398116,0.0015377212203438251,0.000747974023477468,0.0002831511734138546,8.017458700564276e-08,0.10734417534118704,3500,0.0
Schwefel_2_26,2743.673880331402,6179.228342871417,4561.2559685730885,961.4692532381877,924423.1249223982,34.65751022825266,3500,0.0
Rastrigin,11.942941934900091,77.61300725407139,29.35715481103069,14.136224011540747,199.83282930446117,0.29016813449105416,62,0.0
Ackley,3.0943147413411016,8.040355190604636,5.170752462323638,1.2203373231449555,1.4892231822605955,1.5956499256061976,16,0.0
Griewank,0.004318708227483592,0.052538789549240406,0.021738511418697815,0.015505908924636028,0.00024043321157910723,29.31984351241824,754,0.0
Penalized,0.0001856299991872212,4.138308631835126,1.7513607920751741,1.2729611775785588,1.620430159622191,2.517349344737575,3156,0.0
Penalized2,0.0007475263713523988,0.05730020388447526,0.018941884942490297,0.015714018250026066,0.0002469303695621522,2.481384602280709,3500,0.0
Foxholes,0.47220582372761793,0.47220582372793646,0.4722058237276583,7.318138146799391e-14,5.3555145935640424e-27,3.804948206128928,636,0.0
Kowalik,0.001053479874186609,0.002160036855467659,0.001769604673551255,0.00048419216280578376,2.3444205052254262e-07,0.29638378825691547,16,0.0
Camel-Back,-1.0316284534895093,-1.0316284533275597,-1.0316284534482638,4.302360009899795e-11,1.8510301654784964e-21,0.3027274503926985,241,0.0
Branin,0.39788735772988915,0.3978873583808529,0.3978873578268057,1.5058902784395173e-10,2.267705530698647e-20,0.32382349486073025,3500,0.0
Goldstein-Price,-1424586.3256421157,-1256593.262263055,-1360905.925330358,70581.8326413402,4981795099.010157,0.14916384668981822,3500,0.0
Hartman,-3.862779787161857,-3.862779774825793,-3.8627797844440175,2.7667511064164633e-09,7.654911684856724e-18,0.08702298615739976,733,0.0
Shekel1,-3.3223679968681474,-3.2031117359005736,-3.268720473817757,0.05930946544643768,0.003517612691542185,0.0881515308398545,6,0.0
Shekel2,-10.18396608536774,-10.05527455603351,-10.154016105320098,0.029350320922249238,0.0008614413382390213,0.2971179962606973,14,0.0
Shekel3,-10.416425258771486,-10.08789890046436,-10.29686598300324,0.08741941031869835,0.007642153300468944,0.3066767168583641,10,0.0
Shekel4,-10.55279085212595,-10.128967853623603,-10.406806237335328,0.1276004969214236,0.016281886814594238,0.29786499902708413,10,0.0
