Function 1,Function 2,Statistic,p-value,Significant (p<0.05)
Sphere,Schwefel_2_22,-5.410017808004594,6.301848221392269e-08,True
Sphere,Schwefel_1_2,-5.410017808004594,6.301848221392269e-08,True
Sphere,Schwefel_2_21,-5.410017808004594,6.301848221392269e-08,True
Sphere,Rosenbrock,-5.410017808004594,6.301848221392269e-08,True
Sphere,Step,-4.869016027204134,1.121553120831729e-06,True
Sphere,Quartic,5.139516917604364,2.754456932306397e-07,True
Sphere,Schwefel_2_26,-5.410017808004594,6.301848221392269e-08,True
Sphere,Rastrigin,-5.410017808004594,6.301848221392269e-08,True
Sphere,Ackley,-5.410017808004594,6.301848221392269e-08,True
Sphere,Griewank,-5.410017808004594,6.301848221392269e-08,True
Sphere,Penalized,-4.869016027204134,1.121553120831729e-06,True
Sphere,Penalized2,-4.084563445043468,4.415975989955389e-05,True
Sphere,Foxholes,-5.410017808004594,6.301848221392269e-08,True
Sphere,Kowalik,0.0811502671200689,0.9353224500925261,False
Sphere,Camel-Back,5.410017808004594,6.301848221392269e-08,True
Sphere,Branin,-5.410017808004594,6.301848221392269e-08,True
Sphere,Goldstein-Price,5.410017808004594,6.301848221392269e-08,True
Sphere,Hartman,5.410017808004594,6.301848221392269e-08,True
Sphere,Shekel1,5.410017808004594,6.301848221392269e-08,True
Sphere,Shekel2,5.410017808004594,6.301848221392269e-08,True
Sphere,Shekel3,5.410017808004594,6.301848221392269e-08,True
Sphere,Shekel4,5.410017808004594,6.301848221392269e-08,True
Schwefel_2_22,Schwefel_1_2,0.24345080136020672,0.8076561934993387,False
Schwefel_2_22,Schwefel_2_21,-2.8132092601623886,0.004904971965399688,True
Schwefel_2_22,Rosenbrock,-5.410017808004594,6.301848221392269e-08,True
Schwefel_2_22,Step,-4.869016027204134,1.121553120831729e-06,True
Schwefel_2_22,Quartic,5.410017808004594,6.301848221392269e-08,True
Schwefel_2_22,Schwefel_2_26,-5.410017808004594,6.301848221392269e-08,True
Schwefel_2_22,Rastrigin,-5.410017808004594,6.301848221392269e-08,True
Schwefel_2_22,Ackley,-5.410017808004594,6.301848221392269e-08,True
Schwefel_2_22,Griewank,5.410017808004594,6.301848221392269e-08,True
Schwefel_2_22,Penalized,-2.0828568560817686,0.037264273241634394,True
Schwefel_2_22,Penalized2,5.410017808004594,6.301848221392269e-08,True
Schwefel_2_22,Foxholes,1.623005342401378,0.10458826282895559,False
Schwefel_2_22,Kowalik,5.410017808004594,6.301848221392269e-08,True
Schwefel_2_22,Camel-Back,5.410017808004594,6.301848221392269e-08,True
Schwefel_2_22,Branin,3.246010684802756,0.0011703444685277223,True
Schwefel_2_22,Goldstein-Price,5.410017808004594,6.301848221392269e-08,True
Schwefel_2_22,Hartman,5.410017808004594,6.301848221392269e-08,True
Schwefel_2_22,Shekel1,5.410017808004594,6.301848221392269e-08,True
Schwefel_2_22,Shekel2,5.410017808004594,6.301848221392269e-08,True
Schwefel_2_22,Shekel3,5.410017808004594,6.301848221392269e-08,True
Schwefel_2_22,Shekel4,5.410017808004594,6.301848221392269e-08,True
Schwefel_1_2,Schwefel_2_21,-3.624711931363078,0.00028928371617217385,True
Schwefel_1_2,Rosenbrock,-5.410017808004594,6.301848221392269e-08,True
Schwefel_1_2,Step,-4.869016027204134,1.121553120831729e-06,True
Schwefel_1_2,Quartic,5.410017808004594,6.301848221392269e-08,True
Schwefel_1_2,Schwefel_2_26,-5.410017808004594,6.301848221392269e-08,True
Schwefel_1_2,Rastrigin,-5.410017808004594,6.301848221392269e-08,True
Schwefel_1_2,Ackley,-5.410017808004594,6.301848221392269e-08,True
Schwefel_1_2,Griewank,5.410017808004594,6.301848221392269e-08,True
Schwefel_1_2,Penalized,-2.2181073012818833,0.026547517115491897,True
Schwefel_1_2,Penalized2,5.410017808004594,6.301848221392269e-08,True
Schwefel_1_2,Foxholes,2.1640071232018374,0.030463802722688817,True
Schwefel_1_2,Kowalik,5.410017808004594,6.301848221392269e-08,True
Schwefel_1_2,Camel-Back,5.410017808004594,6.301848221392269e-08,True
Schwefel_1_2,Branin,3.7870124656032154,0.00015246945382135562,True
Schwefel_1_2,Goldstein-Price,5.410017808004594,6.301848221392269e-08,True
Schwefel_1_2,Hartman,5.410017808004594,6.301848221392269e-08,True
Schwefel_1_2,Shekel1,5.410017808004594,6.301848221392269e-08,True
Schwefel_1_2,Shekel2,5.410017808004594,6.301848221392269e-08,True
Schwefel_1_2,Shekel3,5.410017808004594,6.301848221392269e-08,True
Schwefel_1_2,Shekel4,5.410017808004594,6.301848221392269e-08,True
Schwefel_2_21,Rosenbrock,-5.410017808004594,6.301848221392269e-08,True
Schwefel_2_21,Step,-4.733765582004019,2.20392254901182e-06,True
Schwefel_2_21,Quartic,5.410017808004594,6.301848221392269e-08,True
Schwefel_2_21,Schwefel_2_26,-5.410017808004594,6.301848221392269e-08,True
Schwefel_2_21,Rastrigin,-5.410017808004594,6.301848221392269e-08,True
Schwefel_2_21,Ackley,-5.410017808004594,6.301848221392269e-08,True
Schwefel_2_21,Griewank,5.410017808004594,6.301848221392269e-08,True
Schwefel_2_21,Penalized,-0.5139516917604364,0.6072857658125611,False
Schwefel_2_21,Penalized2,5.410017808004594,6.301848221392269e-08,True
Schwefel_2_21,Foxholes,5.410017808004594,6.301848221392269e-08,True
Schwefel_2_21,Kowalik,5.410017808004594,6.301848221392269e-08,True
Schwefel_2_21,Camel-Back,5.410017808004594,6.301848221392269e-08,True
Schwefel_2_21,Branin,5.410017808004594,6.301848221392269e-08,True
Schwefel_2_21,Goldstein-Price,5.410017808004594,6.301848221392269e-08,True
Schwefel_2_21,Hartman,5.410017808004594,6.301848221392269e-08,True
Schwefel_2_21,Shekel1,5.410017808004594,6.301848221392269e-08,True
Schwefel_2_21,Shekel2,5.410017808004594,6.301848221392269e-08,True
Schwefel_2_21,Shekel3,5.410017808004594,6.301848221392269e-08,True
Schwefel_2_21,Shekel4,5.410017808004594,6.301848221392269e-08,True
Rosenbrock,Step,5.38296771896457,7.326768199477193e-08,True
Rosenbrock,Quartic,5.410017808004594,6.301848221392269e-08,True
Rosenbrock,Schwefel_2_26,-5.410017808004594,6.301848221392269e-08,True
Rosenbrock,Rastrigin,0.5410017808004594,0.5885063552717107,False
Rosenbrock,Ackley,5.410017808004594,6.301848221392269e-08,True
Rosenbrock,Griewank,5.410017808004594,6.301848221392269e-08,True
Rosenbrock,Penalized,5.410017808004594,6.301848221392269e-08,True
Rosenbrock,Penalized2,5.410017808004594,6.301848221392269e-08,True
Rosenbrock,Foxholes,5.410017808004594,6.301848221392269e-08,True
Rosenbrock,Kowalik,5.410017808004594,6.301848221392269e-08,True
Rosenbrock,Camel-Back,5.410017808004594,6.301848221392269e-08,True
Rosenbrock,Branin,5.410017808004594,6.301848221392269e-08,True
Rosenbrock,Goldstein-Price,5.410017808004594,6.301848221392269e-08,True
Rosenbrock,Hartman,5.410017808004594,6.301848221392269e-08,True
Rosenbrock,Shekel1,5.410017808004594,6.301848221392269e-08,True
Rosenbrock,Shekel2,5.410017808004594,6.301848221392269e-08,True
Rosenbrock,Shekel3,5.410017808004594,6.301848221392269e-08,True
Rosenbrock,Shekel4,5.410017808004594,6.301848221392269e-08,True
Step,Quartic,4.869016027204134,1.121553120831729e-06,True
Step,Schwefel_2_26,-5.410017808004594,6.301848221392269e-08,True
Step,Rastrigin,-5.112466828564341,3.179788366339571e-07,True
Step,Ackley,1.7312056985614699,0.08341508335601155,False
Step,Griewank,4.869016027204134,1.121553120831729e-06,True
Step,Penalized,4.328014246403675,1.5045973945099985e-05,True
Step,Penalized2,4.869016027204134,1.121553120831729e-06,True
Step,Foxholes,4.869016027204134,1.121553120831729e-06,True
Step,Kowalik,4.869016027204134,1.121553120831729e-06,True
Step,Camel-Back,5.410017808004594,6.301848221392269e-08,True
Step,Branin,4.869016027204134,1.121553120831729e-06,True
Step,Goldstein-Price,5.410017808004594,6.301848221392269e-08,True
Step,Hartman,5.410017808004594,6.301848221392269e-08,True
Step,Shekel1,5.410017808004594,6.301848221392269e-08,True
Step,Shekel2,5.410017808004594,6.301848221392269e-08,True
Step,Shekel3,5.410017808004594,6.301848221392269e-08,True
Step,Shekel4,5.410017808004594,6.301848221392269e-08,True
Quartic,Schwefel_2_26,-5.410017808004594,6.301848221392269e-08,True
Quartic,Rastrigin,-5.410017808004594,6.301848221392269e-08,True
Quartic,Ackley,-5.410017808004594,6.301848221392269e-08,True
Quartic,Griewank,-5.410017808004594,6.301848221392269e-08,True
Quartic,Penalized,-4.869016027204134,1.121553120831729e-06,True
Quartic,Penalized2,-5.193617095684409,2.0624711744911234e-07,True
Quartic,Foxholes,-5.410017808004594,6.301848221392269e-08,True
Quartic,Kowalik,-5.031316561444272,4.871230535046449e-07,True
Quartic,Camel-Back,5.410017808004594,6.301848221392269e-08,True
Quartic,Branin,-5.410017808004594,6.301848221392269e-08,True
Quartic,Goldstein-Price,5.410017808004594,6.301848221392269e-08,True
Quartic,Hartman,5.410017808004594,6.301848221392269e-08,True
Quartic,Shekel1,5.410017808004594,6.301848221392269e-08,True
Quartic,Shekel2,5.410017808004594,6.301848221392269e-08,True
Quartic,Shekel3,5.410017808004594,6.301848221392269e-08,True
Quartic,Shekel4,5.410017808004594,6.301848221392269e-08,True
Schwefel_2_26,Rastrigin,5.410017808004594,6.301848221392269e-08,True
Schwefel_2_26,Ackley,5.410017808004594,6.301848221392269e-08,True
Schwefel_2_26,Griewank,5.410017808004594,6.301848221392269e-08,True
Schwefel_2_26,Penalized,5.410017808004594,6.301848221392269e-08,True
Schwefel_2_26,Penalized2,5.410017808004594,6.301848221392269e-08,True
Schwefel_2_26,Foxholes,5.410017808004594,6.301848221392269e-08,True
Schwefel_2_26,Kowalik,5.410017808004594,6.301848221392269e-08,True
Schwefel_2_26,Camel-Back,5.410017808004594,6.301848221392269e-08,True
Schwefel_2_26,Branin,5.410017808004594,6.301848221392269e-08,True
Schwefel_2_26,Goldstein-Price,5.410017808004594,6.301848221392269e-08,True
Schwefel_2_26,Hartman,5.410017808004594,6.301848221392269e-08,True
Schwefel_2_26,Shekel1,5.410017808004594,6.301848221392269e-08,True
Schwefel_2_26,Shekel2,5.410017808004594,6.301848221392269e-08,True
Schwefel_2_26,Shekel3,5.410017808004594,6.301848221392269e-08,True
Schwefel_2_26,Shekel4,5.410017808004594,6.301848221392269e-08,True
Rastrigin,Ackley,5.410017808004594,6.301848221392269e-08,True
Rastrigin,Griewank,5.410017808004594,6.301848221392269e-08,True
Rastrigin,Penalized,5.410017808004594,6.301848221392269e-08,True
Rastrigin,Penalized2,5.410017808004594,6.301848221392269e-08,True
Rastrigin,Foxholes,5.410017808004594,6.301848221392269e-08,True
Rastrigin,Kowalik,5.410017808004594,6.301848221392269e-08,True
Rastrigin,Camel-Back,5.410017808004594,6.301848221392269e-08,True
Rastrigin,Branin,5.410017808004594,6.301848221392269e-08,True
Rastrigin,Goldstein-Price,5.410017808004594,6.301848221392269e-08,True
Rastrigin,Hartman,5.410017808004594,6.301848221392269e-08,True
Rastrigin,Shekel1,5.410017808004594,6.301848221392269e-08,True
Rastrigin,Shekel2,5.410017808004594,6.301848221392269e-08,True
Rastrigin,Shekel3,5.410017808004594,6.301848221392269e-08,True
Rastrigin,Shekel4,5.410017808004594,6.301848221392269e-08,True
Ackley,Griewank,5.410017808004594,6.301848221392269e-08,True
Ackley,Penalized,5.112466828564341,3.179788366339571e-07,True
Ackley,Penalized2,5.410017808004594,6.301848221392269e-08,True
Ackley,Foxholes,5.410017808004594,6.301848221392269e-08,True
Ackley,Kowalik,5.410017808004594,6.301848221392269e-08,True
Ackley,Camel-Back,5.410017808004594,6.301848221392269e-08,True
Ackley,Branin,5.410017808004594,6.301848221392269e-08,True
Ackley,Goldstein-Price,5.410017808004594,6.301848221392269e-08,True
Ackley,Hartman,5.410017808004594,6.301848221392269e-08,True
